Gene	Cytoband	(A) Immunomodulatory	(B) Luminal Androgen Receptor	(A) Immunomodulatory	(B) Luminal Androgen Receptor	Log2 Ratio	p-Value	q-Value	Higher expression in
FAM53A	4p16.3	0.14	0.44	0.30	0.48	-0.30	0.401	0.767	(B) Luminal Androgen Receptor
SACM1L	3p21.31	0.19	0.49	0.21	0.45	-0.30	0.373	0.748	(B) Luminal Androgen Receptor
SP7	12q13.13	0.11	0.40	0.21	0.45	-0.30	0.380	0.752	(B) Luminal Androgen Receptor
SYT13	11p11.2	0.35	0.64	0.65	1.11	-0.30	0.699	0.904	(B) Luminal Androgen Receptor
PCDHB15	5q31.3	0.32	0.61	0.46	0.57	-0.30	0.479	0.811	(B) Luminal Androgen Receptor
GFOD2	16q22.1	0.14	0.44	0.31	0.44	-0.30	0.369	0.745	(B) Luminal Androgen Receptor
HOXD-AS2	2q31.1	0.20	0.50	0.33	0.44	-0.30	0.370	0.746	(B) Luminal Androgen Receptor
DIP2B	12q13.12	0.05	0.35	0.12	0.39	-0.30	0.321	0.718	(B) Luminal Androgen Receptor
OR2A42	7q35	0.02	0.31	0.03	0.44	-0.30	0.518	0.827	(B) Luminal Androgen Receptor
COL9A2	1p34.2	0.11	0.40	0.25	0.54	-0.30	0.448	0.794	(B) Luminal Androgen Receptor
GPAT2	2q11.2	0.54	0.84	0.70	0.84	-0.30	0.622	0.875	(B) Luminal Androgen Receptor
ATXN7L3B	12q21.1	0.05	0.34	0.07	0.30	-0.30	0.225	0.633	(B) Luminal Androgen Receptor
PECAM1	17q23.3	0.64	0.94	0.39	0.60	-0.30	0.492	0.817	(B) Luminal Androgen Receptor
IQCH-AS1	15q23	0.07	0.36	0.19	0.40	-0.30	0.327	0.723	(B) Luminal Androgen Receptor
INE1	Xp11.3	0.04	0.33	0.09	0.45	-0.30	0.374	0.748	(B) Luminal Androgen Receptor
ARHGAP26	5q31.3	0.20	0.50	0.28	0.29	-0.30	0.216	0.626	(B) Luminal Androgen Receptor
UBR3	2q31.1	0.04	0.34	0.08	0.19	-0.30	0.101	0.494	(B) Luminal Androgen Receptor
CYTH1	17q25.3	0.46	0.75	0.39	0.32	-0.30	0.261	0.668	(B) Luminal Androgen Receptor
ZNF80	3q13.31	1.02	1.31	0.78	0.93	-0.30	0.656	0.888	(B) Luminal Androgen Receptor
ZSCAN21	7q22.1	0.00	0.30	0.01	0.34	-0.30	0.270	0.675	(B) Luminal Androgen Receptor
LSAMP	3q13.31	0.66	0.96	0.51	0.77	-0.30	0.584	0.858	(B) Luminal Androgen Receptor
WDR48	3p22.2	0.19	0.48	0.20	0.43	-0.30	0.351	0.734	(B) Luminal Androgen Receptor
TMEM100	17q22	0.32	0.61	0.40	0.53	-0.30	0.445	0.793	(B) Luminal Androgen Receptor
TBX2	17q23.2	0.14	0.44	0.24	0.66	-0.30	0.518	0.827	(B) Luminal Androgen Receptor
TTLL9	20q11	0.37	0.67	0.50	0.69	-0.30	0.546	0.842	(B) Luminal Androgen Receptor
ASL	7q11.21	0.09	0.39	0.17	0.64	-0.30	0.510	0.823	(B) Luminal Androgen Receptor
MIR9-3HG	15q26.1	0.31	0.61	0.42	0.54	-0.30	0.456	0.799	(B) Luminal Androgen Receptor
FMNL3	12q13.12	0.37	0.67	0.48	0.58	-0.30	0.486	0.815	(B) Luminal Androgen Receptor
N4BP2	4p14	0.26	0.56	0.31	0.17	-0.30	0.0834	0.478	(B) Luminal Androgen Receptor
SLC17A8	12q23.1	0.31	0.60	0.43	0.85	-0.30	0.716	0.910	(B) Luminal Androgen Receptor
LINC02897	1q44	0.16	0.46	0.31	0.39	-0.30	0.325	0.722	(B) Luminal Androgen Receptor
UST	6q25.1	0.55	0.85	0.32	0.58	-0.30	0.474	0.810	(B) Luminal Androgen Receptor
PRRT4	7q32.1	0.17	0.47	0.22	0.81	-0.30	0.592	0.863	(B) Luminal Androgen Receptor
LINC01970	17q25.3	0.34	0.63	0.44	0.55	-0.30	0.462	0.803	(B) Luminal Androgen Receptor
SGK2	20q13.12	0.22	0.52	0.39	0.55	-0.30	0.456	0.799	(B) Luminal Androgen Receptor
MYLK3	16q11.2	0.45	0.75	0.55	1.00	-0.30	0.665	0.892	(B) Luminal Androgen Receptor
KCNJ5	11q24.3	0.28	0.58	0.43	1.01	-0.30	0.664	0.891	(B) Luminal Androgen Receptor
GOLM1	9q21.33	0.15	0.44	0.28	0.77	-0.30	0.574	0.855	(B) Luminal Androgen Receptor
ARF6	14q21.3	0.24	0.54	0.26	0.20	-0.30	0.100	0.492	(B) Luminal Androgen Receptor
SRRM2	16p13.3	0.17	0.47	0.22	0.41	-0.30	0.337	0.732	(B) Luminal Androgen Receptor
ZNF764	16p11.2	0.21	0.51	0.25	0.37	-0.30	0.299	0.701	(B) Luminal Androgen Receptor
IHH	2q35	0.21	0.50	0.29	0.71	-0.30	0.662	0.891	(B) Luminal Androgen Receptor
LNPK	2q31.1	0.01	0.31	0.02	0.29	-0.30	0.216	0.627	(B) Luminal Androgen Receptor
ITPR3	6p21.31	0.22	0.52	0.33	0.46	-0.30	0.384	0.755	(B) Luminal Androgen Receptor
PIEZO2	18p11.22-p11.21	0.19	0.48	0.34	0.77	-0.30	0.575	0.855	(B) Luminal Androgen Receptor
PPIC	5q23.2	0.20	0.50	0.28	0.33	-0.30	0.257	0.664	(B) Luminal Androgen Receptor
KDM4B	19p13.3	0.02	0.32	0.06	0.28	-0.30	0.208	0.620	(B) Luminal Androgen Receptor
AJUBA	14q11.2	0.10	0.39	0.19	0.37	-0.30	0.292	0.694	(B) Luminal Androgen Receptor
NPTX1	17q25.3	0.55	0.85	0.80	1.03	-0.30	0.683	0.898	(B) Luminal Androgen Receptor
ZNF234	19q13.31	0.02	0.32	0.06	0.21	-0.30	0.128	0.525	(B) Luminal Androgen Receptor
FREM3	4q31.21	0.22	0.52	0.50	0.54	-0.30	0.471	0.808	(B) Luminal Androgen Receptor
IL4R	16p12.1	0.19	0.49	0.28	0.27	-0.30	0.191	0.601	(B) Luminal Androgen Receptor
LOC100289561	7q22.1	0.09	0.39	0.17	0.63	-0.30	0.501	0.819	(B) Luminal Androgen Receptor
ITGAX	16p11.2	0.44	0.74	0.49	0.64	-0.30	0.519	0.827	(B) Luminal Androgen Receptor
ADRA1A	8p21.2	0.19	0.49	0.36	0.49	-0.30	0.414	0.776	(B) Luminal Androgen Receptor
ZDHHC7	16q24.1	0.07	0.37	0.14	0.33	-0.30	0.251	0.658	(B) Luminal Androgen Receptor
TOB1	17q21.33	0.18	0.48	0.34	0.36	-0.30	0.295	0.698	(B) Luminal Androgen Receptor
ALOX15B	17p13.1	0.73	1.03	0.86	1.35	-0.30	0.747	0.921	(B) Luminal Androgen Receptor
LINC01619	12q21.33	0.69	0.99	0.54	0.86	-0.30	0.619	0.874	(B) Luminal Androgen Receptor
SEPSECS-DT	4p15.2	0.39	0.69	0.42	0.37	-0.30	0.314	0.713	(B) Luminal Androgen Receptor
SLC22A3	6q25.3	0.75	1.05	0.49	0.92	-0.30	0.637	0.882	(B) Luminal Androgen Receptor
FLT1	13q12.3	0.16	0.46	0.29	0.64	-0.30	0.508	0.822	(B) Luminal Androgen Receptor
DTX2	7q11.23	0.00	0.30	0.01	0.22	-0.30	0.140	0.545	(B) Luminal Androgen Receptor
MTERF4	2q37.3	0.21	0.50	0.29	0.50	-0.30	0.414	0.776	(B) Luminal Androgen Receptor
CFAP184	4p16.1	0.33	0.63	0.35	0.24	-0.30	0.166	0.580	(B) Luminal Androgen Receptor
ADD3-AS1	10q25.1	0.10	0.40	0.22	0.69	-0.30	0.532	0.835	(B) Luminal Androgen Receptor
HOXC-AS3	12q13.13	0.33	0.62	0.56	0.56	-0.30	0.483	0.814	(B) Luminal Androgen Receptor
OR2A1-AS1	7q35	0.38	0.68	0.35	0.48	-0.30	0.411	0.775	(B) Luminal Androgen Receptor
CD164	6q21	0.27	0.57	0.42	0.54	-0.30	0.451	0.796	(B) Luminal Androgen Receptor
TXNDC9	2q11.2	0.25	0.55	0.35	0.59	-0.30	0.478	0.811	(B) Luminal Androgen Receptor
GCNT4	5q13.3	0.79	1.09	0.51	0.64	-0.30	0.516	0.826	(B) Luminal Androgen Receptor
MYH7B	20q11.22	0.32	0.62	0.45	0.62	-0.30	0.503	0.820	(B) Luminal Androgen Receptor
GCSAM	3q13.2	0.81	1.11	0.31	0.57	-0.30	0.465	0.804	(B) Luminal Androgen Receptor
CENPC	4q13.2	0.27	0.57	0.22	0.15	-0.30	0.0413	0.430	(B) Luminal Androgen Receptor
TFAP2A	6p24.3	0.15	0.45	0.22	0.62	-0.30	0.490	0.817	(B) Luminal Androgen Receptor
BDH1	3q29	0.26	0.56	0.53	0.98	-0.30	0.655	0.887	(B) Luminal Androgen Receptor
WASHC1	9p24.3	0.04	0.34	0.08	0.32	-0.30	0.239	0.648	(B) Luminal Androgen Receptor
GOLGA6L3P	15q25.3	0.18	0.48	0.27	0.84	-0.30	0.601	0.866	(B) Luminal Androgen Receptor
BRPF3	6p21.31	0.12	0.42	0.22	0.39	-0.30	0.316	0.716	(B) Luminal Androgen Receptor
SNN	16p13.13	0.26	0.56	0.34	0.56	-0.30	0.455	0.798	(B) Luminal Androgen Receptor
HSD17B12	11p11.2	0.27	0.57	0.34	0.50	-0.30	0.416	0.777	(B) Luminal Androgen Receptor
XRN2	20p11.22	0.15	0.45	0.22	0.69	-0.30	0.531	0.834	(B) Luminal Androgen Receptor
DOC2GP	11q13.2	0.37	0.67	0.59	0.44	-0.30	0.563	0.849	(B) Luminal Androgen Receptor
PDE3A	12p12.2	0.17	0.47	0.45	0.53	-0.30	0.443	0.792	(B) Luminal Androgen Receptor
JARID2-AS1	6p22.3	0.23	0.54	0.39	0.76	-0.30	0.674	0.895	(B) Luminal Androgen Receptor
SLC12A6	15q14	0.35	0.65	0.31	0.57	-0.30	0.460	0.802	(B) Luminal Androgen Receptor
ACOX1	17q25.1	0.16	0.46	0.29	0.24	-0.30	0.143	0.550	(B) Luminal Androgen Receptor
ATG16L2	11q13.4	0.28	0.58	0.39	0.51	-0.30	0.421	0.778	(B) Luminal Androgen Receptor
WDR73	15q25.2	0.09	0.39	0.16	0.35	-0.30	0.271	0.675	(B) Luminal Androgen Receptor
HECTD3	1p34.1	0.04	0.34	0.07	0.02	-0.30	1.937e-6	5.208e-3	(B) Luminal Androgen Receptor
MC4R	18q21.32	0.32	0.62	0.48	0.88	-0.30	0.713	0.909	(B) Luminal Androgen Receptor
PHLDB3	19q13.31	0.10	0.40	0.25	0.41	-0.30	0.329	0.725	(B) Luminal Androgen Receptor
DNAJC10	2q32.1	0.18	0.49	0.21	0.41	-0.30	0.334	0.729	(B) Luminal Androgen Receptor
ORM1	9q32	1.42	1.72	1.33	0.46	-0.30	0.611	0.870	(B) Luminal Androgen Receptor
XPO5	6p21.1	0.02	0.32	0.06	0.56	-0.30	0.450	0.795	(B) Luminal Androgen Receptor
TRAF5	1q32.3	0.26	0.57	0.31	0.54	-0.30	0.442	0.791	(B) Luminal Androgen Receptor
LRIG1	3p14.1	0.32	0.62	0.34	0.29	-0.30	0.214	0.625	(B) Luminal Androgen Receptor
IRAG1	11p15.4	0.08	0.38	0.21	0.55	-0.30	0.441	0.790	(B) Luminal Androgen Receptor
PLCG1	20q12	0.13	0.43	0.30	0.29	-0.30	0.204	0.617	(B) Luminal Androgen Receptor
OMD	9q22.31	0.63	0.94	0.60	0.16	-0.30	0.226	0.633	(B) Luminal Androgen Receptor
COQ7	16p12.3	0.08	0.39	0.16	0.50	-0.30	0.409	0.773	(B) Luminal Androgen Receptor
PRDM16	1p36.32	0.30	0.60	0.39	0.65	-0.30	0.513	0.824	(B) Luminal Androgen Receptor
ADRA1B	5q33.3	0.12	0.42	0.31	0.72	-0.30	0.550	0.844	(B) Luminal Androgen Receptor
PRRT3	3p25.3	0.20	0.50	0.41	0.45	-0.30	0.376	0.749	(B) Luminal Androgen Receptor
WSCD2	12q23.3	0.32	0.62	0.27	0.48	-0.30	0.393	0.761	(B) Luminal Androgen Receptor
ARIH2	3p21.31	0.14	0.44	0.17	0.43	-0.30	0.351	0.734	(B) Luminal Androgen Receptor
BTBD7	14q32.12	0.01	0.31	0.02	0.24	-0.30	0.165	0.577	(B) Luminal Androgen Receptor
SNAPC4	9q34.3	0.08	0.38	0.22	0.66	-0.30	0.511	0.823	(B) Luminal Androgen Receptor
CCDC178	18q12.1	0.67	0.97	0.74	0.38	-0.30	0.404	0.769	(B) Luminal Androgen Receptor
KCNIP2	10q24.32	0.50	0.80	0.59	0.77	-0.30	0.582	0.858	(B) Luminal Androgen Receptor
C5ORF24	5q31.1	0.13	0.43	0.26	0.17	-0.30	0.0705	0.468	(B) Luminal Androgen Receptor
MRAP2	6q14.2	0.72	1.02	0.68	1.19	-0.30	0.710	0.908	(B) Luminal Androgen Receptor
CBX7	22q13.1	0.54	0.84	0.40	0.73	-0.30	0.554	0.846	(B) Luminal Androgen Receptor
MIR194-2HG	11q13.1	0.19	0.49	0.23	0.86	-0.30	0.606	0.868	(B) Luminal Androgen Receptor
DNM1	9q34.11	0.06	0.36	0.10	0.44	-0.30	0.354	0.737	(B) Luminal Androgen Receptor
RAB8B	15q22.2	0.54	0.85	0.44	0.34	-0.30	0.280	0.684	(B) Luminal Androgen Receptor
PDE8A	15q25.3	0.03	0.34	0.06	0.30	-0.30	0.223	0.632	(B) Luminal Androgen Receptor
FAM114A1	4p14	0.07	0.38	0.10	0.41	-0.30	0.330	0.726	(B) Luminal Androgen Receptor
CTSG	14q12	0.72	1.02	0.62	0.93	-0.30	0.641	0.883	(B) Luminal Androgen Receptor
RLIG1	12q21.32	0.25	0.55	0.36	0.14	-0.30	0.0782	0.478	(B) Luminal Androgen Receptor
DOLK	9q34.11	0.07	0.37	0.10	0.56	-0.30	0.450	0.795	(B) Luminal Androgen Receptor
ADAMTSL4-AS1	1q21.2	0.34	0.64	0.56	0.56	-0.30	0.471	0.808	(B) Luminal Androgen Receptor
FAM30A	14q32.33	1.32	1.62	0.57	0.16	-0.30	0.202	0.614	(B) Luminal Androgen Receptor
ZNF641	12q13.11	0.10	0.41	0.19	0.35	-0.30	0.270	0.675	(B) Luminal Androgen Receptor
PGM2	4p14	0.13	0.43	0.18	0.38	-0.30	0.295	0.698	(B) Luminal Androgen Receptor
SCYL2	12q23.1	0.11	0.41	0.17	0.39	-0.30	0.311	0.711	(B) Luminal Androgen Receptor
SNHG22	18q21.1	0.15	0.45	0.30	0.78	-0.30	0.578	0.857	(B) Luminal Androgen Receptor
ABHD1	2p23.3	0.16	0.46	0.29	0.41	-0.30	0.327	0.724	(B) Luminal Androgen Receptor
LY75-CD302	2q24.2	0.40	0.70	0.72	0.61	-0.30	0.540	0.839	(B) Luminal Androgen Receptor
MITF	3p13	0.19	0.49	0.26	0.56	-0.30	0.451	0.796	(B) Luminal Androgen Receptor
PALM3	19p13.12	0.01	0.31	0.02	0.54	-0.30	0.430	0.783	(B) Luminal Androgen Receptor
AKAP11	13q14.11	0.15	0.45	0.29	0.29	-0.30	0.206	0.618	(B) Luminal Androgen Receptor
TASOR	3p14.3	0.13	0.43	0.21	0.34	-0.30	0.258	0.665	(B) Luminal Androgen Receptor
CLDN12	7q21.13	0.05	0.35	0.11	0.61	-0.30	0.479	0.812	(B) Luminal Androgen Receptor
RAB38	11q14.2	0.34	0.65	0.42	0.61	-0.30	0.489	0.816	(B) Luminal Androgen Receptor
LINC01426	21q22.12	0.24	0.54	0.46	0.94	-0.30	0.637	0.882	(B) Luminal Androgen Receptor
EXOG	3p22.2	0.14	0.44	0.26	0.41	-0.30	0.324	0.721	(B) Luminal Androgen Receptor
DHRS4L2	14q11.2	0.30	0.60	0.43	0.15	-0.30	0.113	0.505	(B) Luminal Androgen Receptor
MLH1	3p22.2	0.13	0.43	0.15	0.38	-0.30	0.293	0.695	(B) Luminal Androgen Receptor
EWSAT1	15q23	0.11	0.41	0.19	0.72	-0.31	0.538	0.838	(B) Luminal Androgen Receptor
HS2ST1	1p22.3	0.10	0.40	0.15	0.55	-0.31	0.442	0.791	(B) Luminal Androgen Receptor
SLC9B1	4q24	0.46	0.77	0.42	0.67	-0.31	0.522	0.830	(B) Luminal Androgen Receptor
PLXDC1	17q12	0.13	0.43	0.19	0.71	-0.31	0.535	0.836	(B) Luminal Androgen Receptor
PLEKHN1	1p36.33	0.15	0.45	0.28	0.58	-0.31	0.461	0.803	(B) Luminal Androgen Receptor
PDSS2	6q21	0.20	0.50	0.39	0.44	-0.31	0.361	0.742	(B) Luminal Androgen Receptor
AK1	9q34.11	0.09	0.39	0.23	0.47	-0.31	0.375	0.748	(B) Luminal Androgen Receptor
CTAGE15	7q35	0.14	0.45	0.27	0.56	-0.31	0.445	0.793	(B) Luminal Androgen Receptor
DDO	6q21	0.44	0.74	0.36	0.43	-0.31	0.349	0.734	(B) Luminal Androgen Receptor
IL1RAP	3q28	0.15	0.45	0.30	0.79	-0.31	0.574	0.855	(B) Luminal Androgen Receptor
GUCY2D	17p13.1	0.61	0.91	0.50	0.79	-0.31	0.585	0.859	(B) Luminal Androgen Receptor
SHISAL2A	1p32.3	1.11	1.41	0.41	0.37	-0.31	0.298	0.701	(B) Luminal Androgen Receptor
EPOR	19p13.2	0.27	0.58	0.38	0.57	-0.31	0.459	0.801	(B) Luminal Androgen Receptor
CABLES1	18q11.2	0.15	0.46	0.34	0.40	-0.31	0.324	0.722	(B) Luminal Androgen Receptor
PIKFYVE	2q34	0.17	0.48	0.25	0.44	-0.31	0.351	0.734	(B) Luminal Androgen Receptor
KIAA0040	1q25.1	0.47	0.77	0.45	0.14	-0.31	0.121	0.515	(B) Luminal Androgen Receptor
SREBF2	22q13.2	0.14	0.45	0.27	0.60	-0.31	0.474	0.809	(B) Luminal Androgen Receptor
FBXO3	11p13	0.25	0.56	0.43	0.16	-0.31	0.116	0.508	(B) Luminal Androgen Receptor
SRPRA	11q24.2	0.15	0.46	0.34	0.40	-0.31	0.317	0.716	(B) Luminal Androgen Receptor
SPRING1	12q24.22	0.16	0.46	0.31	0.71	-0.31	0.534	0.836	(B) Luminal Androgen Receptor
MAST4	5q12.3	0.26	0.57	0.42	0.19	-0.31	0.134	0.536	(B) Luminal Androgen Receptor
COL24A1	1p22.3	0.16	0.46	0.26	0.46	-0.31	0.371	0.747	(B) Luminal Androgen Receptor
HOXA10-AS	7p15.2	0.37	0.68	0.45	1.18	-0.31	0.699	0.904	(B) Luminal Androgen Receptor
LYPD6B	2q23.2	0.29	0.60	0.45	0.55	-0.31	0.445	0.793	(B) Luminal Androgen Receptor
MCAT	22q13.2	0.05	0.36	0.09	0.34	-0.31	0.254	0.661	(B) Luminal Androgen Receptor
TOMM70	3q12.2	0.06	0.36	0.11	0.51	-0.31	0.405	0.771	(B) Luminal Androgen Receptor
PMS2P2	7q11.23	0.31	0.62	0.36	0.24	-0.31	0.153	0.566	(B) Luminal Androgen Receptor
BTG2-DT	1q32.1	0.24	0.55	0.25	0.95	-0.31	0.631	0.879	(B) Luminal Androgen Receptor
TNFRSF12A	16p13.3	0.23	0.54	0.40	0.47	-0.31	0.388	0.758	(B) Luminal Androgen Receptor
USP22	17p11.2	0.08	0.39	0.22	0.67	-0.31	0.510	0.823	(B) Luminal Androgen Receptor
ZNF548	19q13.43	0.05	0.36	0.09	0.33	-0.31	0.244	0.652	(B) Luminal Androgen Receptor
SCARNA2	1q13.1	0.28	0.59	0.35	0.58	-0.31	0.460	0.802	(B) Luminal Androgen Receptor
SNAI3-AS1	16q24.2	0.26	0.56	0.43	0.49	-0.31	0.407	0.772	(B) Luminal Androgen Receptor
CPT1B	22q13.33	0.16	0.47	0.29	0.38	-0.31	0.298	0.701	(B) Luminal Androgen Receptor
FBXO27	19q13.2	0.34	0.64	0.53	0.69	-0.31	0.534	0.836	(B) Luminal Androgen Receptor
RRP36	6p21.1	0.21	0.52	0.34	0.57	-0.31	0.455	0.798	(B) Luminal Androgen Receptor
TSSK4	14q12	0.22	0.53	0.38	0.64	-0.31	0.498	0.818	(B) Luminal Androgen Receptor
ODR4	1q31.1	0.15	0.45	0.21	0.40	-0.31	0.308	0.709	(B) Luminal Androgen Receptor
CLEC10A	17p13.1	0.89	1.20	0.65	1.03	-0.31	0.667	0.893	(B) Luminal Androgen Receptor
HTR1D	1p36.12	0.20	0.51	0.37	0.72	-0.31	0.651	0.887	(B) Luminal Androgen Receptor
MEPE	4q22.1	0.52	0.83	0.81	0.76	-0.31	0.628	0.878	(B) Luminal Androgen Receptor
ICA1L	2q33.2	0.02	0.33	0.06	0.39	-0.31	0.299	0.701	(B) Luminal Androgen Receptor
CTSK	1q21.3	0.38	0.69	0.41	0.23	-0.31	0.158	0.570	(B) Luminal Androgen Receptor
HERC2P3	15q11.1-q11.2	0.12	0.43	0.23	0.75	-0.31	0.550	0.844	(B) Luminal Androgen Receptor
NIBAN2	9q34.11	0.07	0.38	0.21	0.33	-0.31	0.242	0.651	(B) Luminal Androgen Receptor
HUNK	21q22.11	0.09	0.40	0.20	0.69	-0.31	0.519	0.828	(B) Luminal Androgen Receptor
FOXL2	3q22.3	0.32	0.63	0.50	0.89	-0.31	0.711	0.909	(B) Luminal Androgen Receptor
KRT80	12q13.13	0.18	0.49	0.41	0.44	-0.31	0.356	0.738	(B) Luminal Androgen Receptor
OIT3	10q22.1	0.31	0.62	0.50	0.61	-0.31	0.491	0.817	(B) Luminal Androgen Receptor
MMUT	6p12.3	0.11	0.42	0.22	0.36	-0.31	0.272	0.676	(B) Luminal Androgen Receptor
CYBRD1	2q31.1	0.34	0.65	0.19	0.19	-0.31	0.0835	0.478	(B) Luminal Androgen Receptor
BCAR3	1p22.1	0.17	0.48	0.26	0.43	-0.31	0.335	0.730	(B) Luminal Androgen Receptor
ARHGAP10	4q31.23	0.18	0.49	0.26	0.47	-0.31	0.374	0.748	(B) Luminal Androgen Receptor
TALAM1	11q13.1	0.32	0.63	0.49	0.47	-0.31	0.398	0.765	(B) Luminal Androgen Receptor
FBXW5	9q34.3	0.31	0.62	0.34	0.27	-0.31	0.178	0.589	(B) Luminal Androgen Receptor
LDHAL6B	15q22.2	0.16	0.47	0.31	0.44	-0.31	0.347	0.734	(B) Luminal Androgen Receptor
TRIO	5p15.2	0.05	0.36	0.11	0.35	-0.31	0.265	0.672	(B) Luminal Androgen Receptor
UBE2Q2	15q24.2	0.11	0.42	0.22	0.20	-0.31	0.0870	0.483	(B) Luminal Androgen Receptor
ANXA9	1q21.3	0.34	0.65	0.47	0.68	-0.31	0.522	0.830	(B) Luminal Androgen Receptor
BSPRY	9q32	0.09	0.40	0.26	0.36	-0.31	0.268	0.674	(B) Luminal Androgen Receptor
SH2D5	1p36.12	0.01	0.32	0.03	0.45	-0.31	0.510	0.823	(B) Luminal Androgen Receptor
MAGI2-AS3	7q21.11	0.37	0.69	0.46	0.51	-0.31	0.416	0.777	(B) Luminal Androgen Receptor
SQOR	15q21.1	0.47	0.78	0.36	0.17	-0.31	0.0882	0.484	(B) Luminal Androgen Receptor
POLN	4p16.3	0.34	0.65	0.37	0.62	-0.31	0.483	0.814	(B) Luminal Androgen Receptor
LBHD1	11q12.3	0.26	0.57	0.30	0.50	-0.31	0.400	0.765	(B) Luminal Androgen Receptor
PRORP	14q13.2	0.19	0.51	0.14	0.25	-0.31	0.155	0.566	(B) Luminal Androgen Receptor
SMIM1	1p36.32	0.31	0.62	0.52	0.61	-0.31	0.488	0.816	(B) Luminal Androgen Receptor
ZNF132	19q13.43	0.01	0.32	0.03	0.49	-0.31	0.385	0.756	(B) Luminal Androgen Receptor
F12	5q35.3	0.19	0.50	0.51	0.87	-0.31	0.608	0.869	(B) Luminal Androgen Receptor
RANBP10	16q22	0.02	0.33	0.04	0.25	-0.31	0.162	0.574	(B) Luminal Androgen Receptor
ARMC2	6q21	0.24	0.55	0.30	0.29	-0.31	0.201	0.612	(B) Luminal Androgen Receptor
ZNF624	17p11.2	0.31	0.62	0.24	0.48	-0.31	0.377	0.750	(B) Luminal Androgen Receptor
GTF2IRD2B	7q11.23	0.05	0.36	0.09	0.38	-0.31	0.291	0.694	(B) Luminal Androgen Receptor
ZNF431	19p12	0.11	0.43	0.22	0.08	-0.31	8.344e-3	0.325	(B) Luminal Androgen Receptor
PRDM5	4q27	0.28	0.59	0.34	0.53	-0.31	0.421	0.778	(B) Luminal Androgen Receptor
TMEM150A	2p11.2	0.11	0.43	0.26	0.40	-0.31	0.311	0.711	(B) Luminal Androgen Receptor
USP17L2	8p23.1	0.02	0.33	0.03	0.47	-0.31	0.521	0.829	(B) Luminal Androgen Receptor
LIPC-AS1	15q21.3	0.19	0.51	0.33	0.61	-0.31	0.483	0.814	(B) Luminal Androgen Receptor
GABPB1-IT1	15q21.2	0.32	0.63	0.27	0.55	-0.31	0.428	0.782	(B) Luminal Androgen Receptor
ANKRD29	18q11.2	0.59	0.90	0.49	0.67	-0.31	0.516	0.826	(B) Luminal Androgen Receptor
TMED6	16q22.1	0.25	0.56	0.32	0.25	-0.31	0.149	0.559	(B) Luminal Androgen Receptor
STS	Xp22.31	0.37	0.68	0.56	0.90	-0.31	0.618	0.874	(B) Luminal Androgen Receptor
ZNF223	19q13.31	0.02	0.34	0.06	0.26	-0.31	0.170	0.585	(B) Luminal Androgen Receptor
RRN3P1	16p12.2	0.42	0.74	0.51	0.64	-0.31	0.500	0.818	(B) Luminal Androgen Receptor
NAPEPLD	7q22.1	0.08	0.39	0.23	0.24	-0.31	0.130	0.528	(B) Luminal Androgen Receptor
LINC01725	1p31.1	0.25	0.56	0.29	0.50	-0.31	0.394	0.761	(B) Luminal Androgen Receptor
FDFT1	8p23.1	0.42	0.74	0.46	0.44	-0.31	0.361	0.742	(B) Luminal Androgen Receptor
RBM11	21q11.2	0.49	0.81	0.64	0.72	-0.31	0.551	0.844	(B) Luminal Androgen Receptor
ZNF214	11p15.4	0.43	0.74	0.47	0.65	-0.31	0.503	0.819	(B) Luminal Androgen Receptor
YTHDC2	5q22.2	0.17	0.48	0.24	0.46	-0.31	0.358	0.739	(B) Luminal Androgen Receptor
AHSA2P	2p15	0.13	0.45	0.25	0.35	-0.31	0.250	0.658	(B) Luminal Androgen Receptor
ZNF160	19q13.42	0.06	0.37	0.12	0.33	-0.31	0.239	0.648	(B) Luminal Androgen Receptor
SMAD9	13q13.3	0.21	0.52	0.34	0.54	-0.31	0.421	0.778	(B) Luminal Androgen Receptor
LRCH3	3q29	0.13	0.45	0.25	0.16	-0.31	0.0492	0.442	(B) Luminal Androgen Receptor
PPP1R13B	14q32.33	0.05	0.37	0.13	0.62	-0.31	0.471	0.808	(B) Luminal Androgen Receptor
BMPER	7p14.3	0.56	0.88	0.54	0.80	-0.31	0.576	0.856	(B) Luminal Androgen Receptor
CCL28	5p12	0.87	1.18	0.64	1.06	-0.32	0.667	0.893	(B) Luminal Androgen Receptor
ALS2CL	3p21.31	0.10	0.41	0.18	0.38	-0.32	0.285	0.689	(B) Luminal Androgen Receptor
FLJ45513	17q21.33	0.35	0.67	0.54	0.58	-0.32	0.467	0.806	(B) Luminal Androgen Receptor
CD151	11p15.5	0.21	0.52	0.30	0.54	-0.32	0.420	0.778	(B) Luminal Androgen Receptor
IQSEC1	3p25.2	0.06	0.37	0.14	0.38	-0.32	0.285	0.689	(B) Luminal Androgen Receptor
MAGOH2P	17p13.1	0.33	0.64	0.42	0.57	-0.32	0.446	0.793	(B) Luminal Androgen Receptor
ABCA6	17q24.2-q24.3	0.49	0.80	0.68	0.74	-0.32	0.559	0.847	(B) Luminal Androgen Receptor
KCNH4	17q21.2	0.51	0.82	0.44	0.72	-0.32	0.534	0.836	(B) Luminal Androgen Receptor
