Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
TUBA3D	2q21.1	0.37	0.55	0.46	0.57	-0.18	0.488	0.851	(B) Mesenchymal
EMCN	4q24	0.19	0.37	0.40	0.37	-0.18	0.369	0.803	(B) Mesenchymal
GSTM4	1p13.3	0.14	0.32	0.19	0.44	-0.18	0.287	0.766	(B) Mesenchymal
SAFB	19p13.3	0.11	0.29	0.18	0.44	-0.18	0.284	0.765	(B) Mesenchymal
FBXO42	1p36.13	0.00	0.19	0.01	0.22	-0.18	0.0394	0.692	(B) Mesenchymal
PANK4	1p36.32	0.07	0.26	0.20	0.42	-0.18	0.273	0.758	(B) Mesenchymal
ADGRA3	4p15.2	0.53	0.72	0.21	0.50	-0.18	0.345	0.797	(B) Mesenchymal
ANKS1B	12q23.1	0.34	0.52	0.69	0.60	-0.18	0.588	0.886	(B) Mesenchymal
EXOC3-AS1	5p15.33	0.37	0.55	0.40	0.66	-0.18	0.506	0.857	(B) Mesenchymal
ZNF570	19q13.12	0.19	0.37	0.50	0.40	-0.18	0.445	0.833	(B) Mesenchymal
PACRG	6q26	0.19	0.37	0.45	0.57	-0.18	0.484	0.850	(B) Mesenchymal
HHIP-AS1	4q31.21	0.18	0.37	0.29	0.49	-0.18	0.380	0.807	(B) Mesenchymal
OGFOD3	17q25.3	0.17	0.35	0.30	0.50	-0.18	0.380	0.807	(B) Mesenchymal
PAEP	9q34.3	0.29	0.48	0.66	0.56	-0.18	0.666	0.912	(B) Mesenchymal
F3	1p21.3	0.21	0.39	0.36	0.67	-0.18	0.496	0.854	(B) Mesenchymal
ZNF132	19q13.43	0.14	0.32	0.32	0.39	-0.18	0.320	0.785	(B) Mesenchymal
RNF126	19p13.3	0.15	0.33	0.20	0.38	-0.18	0.233	0.741	(B) Mesenchymal
STING1	5q31.2	0.02	0.21	0.06	0.42	-0.18	0.232	0.741	(B) Mesenchymal
CHCHD5	2q14.1	0.14	0.32	0.27	0.42	-0.18	0.309	0.779	(B) Mesenchymal
CNTD1	17q21.2-q21.31	0.25	0.43	0.32	0.40	-0.18	0.324	0.788	(B) Mesenchymal
DONSON	21q22.11	0.26	0.44	0.32	0.47	-0.18	0.373	0.805	(B) Mesenchymal
NDUFS8	11q13.2	0.14	0.32	0.23	0.34	-0.18	0.224	0.736	(B) Mesenchymal
TKFC	11q12.2	0.04	0.22	0.07	0.43	-0.18	0.245	0.748	(B) Mesenchymal
DBX2	12q12	0.21	0.39	0.26	0.36	-0.18	0.335	0.793	(B) Mesenchymal
HIC2	22q11.21	0.11	0.29	0.28	0.33	-0.18	0.255	0.752	(B) Mesenchymal
LAMB1	7q31.1	0.19	0.37	0.35	0.48	-0.18	0.389	0.812	(B) Mesenchymal
PTPN13	4q21.3	0.12	0.31	0.22	0.43	-0.18	0.289	0.767	(B) Mesenchymal
RILPL1	12q24.31	0.05	0.23	0.13	0.32	-0.18	0.147	0.709	(B) Mesenchymal
MICAL1	6q21	0.01	0.19	0.02	0.35	-0.18	0.156	0.712	(B) Mesenchymal
AGMO	7p21.2	0.02	0.20	0.05	0.31	-0.18	0.121	0.697	(B) Mesenchymal
CPEB2	4p15.32	0.05	0.24	0.10	0.33	-0.18	0.141	0.706	(B) Mesenchymal
NPHP1	2q13	0.01	0.19	0.01	0.27	-0.18	0.0741	0.692	(B) Mesenchymal
TUBGCP2	10q26.3	0.08	0.26	0.14	0.51	-0.18	0.322	0.787	(B) Mesenchymal
INSIG2	2q14.1-q14.2	0.08	0.26	0.12	0.34	-0.18	0.159	0.712	(B) Mesenchymal
GLT8D1	3p21.1	0.02	0.21	0.05	0.27	-0.18	0.0805	0.692	(B) Mesenchymal
MACROH2A2	10q22.1	0.30	0.48	0.47	0.74	-0.18	0.554	0.877	(B) Mesenchymal
ARHGEF38	4q24	0.15	0.34	0.41	0.56	-0.18	0.457	0.835	(B) Mesenchymal
CAPN7	3p25.1	0.17	0.35	0.24	0.53	-0.18	0.376	0.806	(B) Mesenchymal
FAM27E3	9q21.11	0.73	0.91	0.73	0.72	-0.18	0.622	0.895	(B) Mesenchymal
CBX4	17q25.3	0.13	0.31	0.27	0.47	-0.18	0.340	0.796	(B) Mesenchymal
GTF2E2	8p12	0.10	0.29	0.19	0.32	-0.18	0.173	0.714	(B) Mesenchymal
BRD4	19p13.12	0.14	0.32	0.30	0.35	-0.18	0.277	0.760	(B) Mesenchymal
CCDC17	1p34.1	0.14	0.32	0.25	0.39	-0.18	0.268	0.757	(B) Mesenchymal
LMTK3	19q13.33	0.25	0.43	0.38	0.75	-0.18	0.532	0.868	(B) Mesenchymal
IL27	16p12.1-p11.2	0.08	0.27	0.19	0.36	-0.18	0.235	0.742	(B) Mesenchymal
LRRC4B	19q13.33	0.19	0.37	0.42	0.61	-0.18	0.488	0.851	(B) Mesenchymal
CEBPB	20q13.13	0.10	0.28	0.16	0.27	-0.18	0.113	0.692	(B) Mesenchymal
ZNF431	19p12	0.12	0.30	0.21	0.40	-0.18	0.259	0.755	(B) Mesenchymal
GPCPD1	20p12.3	0.01	0.19	0.01	0.31	-0.18	0.113	0.692	(B) Mesenchymal
NEK4	3p21.1	0.10	0.29	0.21	0.37	-0.18	0.227	0.738	(B) Mesenchymal
NOL11	17q24.2	0.17	0.36	0.25	0.46	-0.18	0.330	0.790	(B) Mesenchymal
CNTNAP3B	9p11.2	0.56	0.75	0.80	0.82	-0.18	0.656	0.909	(B) Mesenchymal
BCL2L12	19q13.33	0.17	0.35	0.26	0.40	-0.18	0.280	0.762	(B) Mesenchymal
LINC00896	22q11.21	0.51	0.69	0.85	0.93	-0.18	0.705	0.926	(B) Mesenchymal
FUT2	19q13.33	0.24	0.42	0.37	0.71	-0.18	0.512	0.859	(B) Mesenchymal
SNRNP48	6p24.3	0.08	0.27	0.21	0.34	-0.18	0.207	0.723	(B) Mesenchymal
S100A2	1q21.3	0.30	0.48	0.55	0.73	-0.18	0.572	0.881	(B) Mesenchymal
CDK2	12q13.2	0.16	0.35	0.22	0.50	-0.19	0.338	0.795	(B) Mesenchymal
ADAMTS2	5q35.3	0.02	0.21	0.05	0.30	-0.19	0.109	0.692	(B) Mesenchymal
ARGFXP2	17q11.2	0.10	0.29	0.27	0.48	-0.19	0.345	0.797	(B) Mesenchymal
SCOC	4q31.1	0.12	0.30	0.15	0.48	-0.19	0.297	0.773	(B) Mesenchymal
NINJ2-AS1	12p13.33	0.29	0.48	0.47	0.52	-0.19	0.468	0.840	(B) Mesenchymal
HAAO	2p21	0.07	0.25	0.17	0.44	-0.19	0.271	0.758	(B) Mesenchymal
KDM5A	12p13.33	0.25	0.43	0.37	0.49	-0.19	0.405	0.819	(B) Mesenchymal
TNS4	17q21.2	0.39	0.57	0.69	0.74	-0.19	0.615	0.893	(B) Mesenchymal
CIAO1	2q11.2	0.07	0.26	0.14	0.28	-0.19	0.112	0.692	(B) Mesenchymal
PARGP1	10q11.22	0.16	0.35	0.24	0.53	-0.19	0.368	0.803	(B) Mesenchymal
PDLIM7	5q35.3	0.04	0.22	0.06	0.40	-0.19	0.203	0.721	(B) Mesenchymal
UBE2E1	3p24.2	0.10	0.29	0.19	0.40	-0.19	0.242	0.746	(B) Mesenchymal
ZNF19	16q22.2	0.08	0.26	0.14	0.33	-0.19	0.152	0.710	(B) Mesenchymal
TMPRSS6	22q12.3	0.21	0.39	0.41	0.54	-0.19	0.452	0.835	(B) Mesenchymal
ANXA13	8q24.13	0.24	0.43	0.59	0.78	-0.19	0.608	0.891	(B) Mesenchymal
FITM1	14q12	0.17	0.36	0.44	0.51	-0.19	0.450	0.834	(B) Mesenchymal
RGPD8	2q14.1	0.31	0.49	0.53	0.52	-0.19	0.493	0.853	(B) Mesenchymal
TSSK4	14q12	0.10	0.29	0.19	0.40	-0.19	0.244	0.748	(B) Mesenchymal
ZC3H18	16q24.2	0.14	0.33	0.29	0.53	-0.19	0.389	0.812	(B) Mesenchymal
DRC9	3q29	0.48	0.66	0.49	0.56	-0.19	0.491	0.852	(B) Mesenchymal
TK1	17q25.3	0.32	0.51	0.32	0.62	-0.19	0.449	0.834	(B) Mesenchymal
FAM168A	11q13.4	0.06	0.25	0.14	0.28	-0.19	0.111	0.692	(B) Mesenchymal
HOXC11	12q13.13	0.32	0.51	0.48	0.43	-0.19	0.459	0.837	(B) Mesenchymal
MMP15	16q21	0.40	0.58	0.59	0.77	-0.19	0.594	0.887	(B) Mesenchymal
CARMIL3	14q11.2	0.51	0.70	0.54	0.70	-0.19	0.558	0.877	(B) Mesenchymal
NAIP	5q13.2	0.03	0.21	0.07	0.34	-0.19	0.143	0.706	(B) Mesenchymal
SPATA46	1q23.3	0.35	0.53	0.41	0.64	-0.19	0.534	0.869	(B) Mesenchymal
SAFB2	19p13.3	0.06	0.24	0.15	0.34	-0.19	0.168	0.714	(B) Mesenchymal
SSR3	3q25.31	0.10	0.28	0.18	0.44	-0.19	0.274	0.758	(B) Mesenchymal
HLA-G	6p22.1	0.13	0.32	0.25	0.50	-0.19	0.472	0.842	(B) Mesenchymal
PIP4K2B	17q12	0.07	0.25	0.14	0.28	-0.19	0.107	0.692	(B) Mesenchymal
HSP90AB1	6p21.1	0.26	0.45	0.31	0.53	-0.19	0.398	0.816	(B) Mesenchymal
TRAFD1	12q24.13	0.12	0.31	0.32	0.34	-0.19	0.281	0.763	(B) Mesenchymal
LINC01607	8q21.13	0.26	0.45	0.40	0.61	-0.19	0.523	0.863	(B) Mesenchymal
ANKDD1B	5q13.3	0.11	0.30	0.20	0.40	-0.19	0.266	0.757	(B) Mesenchymal
PRSS1	7q34	0.35	0.54	0.57	1.07	-0.19	0.768	0.944	(B) Mesenchymal
TPX2	20q11.21	0.39	0.58	0.36	0.56	-0.19	0.432	0.827	(B) Mesenchymal
RBSN	3p25.1	0.08	0.26	0.16	0.30	-0.19	0.135	0.701	(B) Mesenchymal
USP22	17p11.2	0.13	0.32	0.23	0.51	-0.19	0.345	0.797	(B) Mesenchymal
NFYC	1p34.2	0.10	0.29	0.13	0.37	-0.19	0.192	0.718	(B) Mesenchymal
USP51	Xp11.21	0.22	0.41	0.33	0.39	-0.19	0.313	0.781	(B) Mesenchymal
PPTC7	12q24.11	0.00	0.19	0.01	0.24	-0.19	0.0513	0.692	(B) Mesenchymal
CYP2U1	4q25	0.03	0.22	0.08	0.43	-0.19	0.239	0.744	(B) Mesenchymal
AFAP1L1	5q32	0.24	0.43	0.42	0.59	-0.19	0.472	0.842	(B) Mesenchymal
LRG1	19p13.3	0.06	0.24	0.15	0.61	-0.19	0.401	0.817	(B) Mesenchymal
ARMC2	6q21	0.03	0.22	0.06	0.36	-0.19	0.162	0.714	(B) Mesenchymal
PHF12	17q11.2	0.01	0.20	0.02	0.27	-0.19	0.0717	0.692	(B) Mesenchymal
DYNLT3	Xp11.4	0.08	0.27	0.18	0.31	-0.19	0.157	0.712	(B) Mesenchymal
SEMA3F-AS1	3p21.31	0.02	0.20	0.05	0.31	-0.19	0.111	0.692	(B) Mesenchymal
KDM6A	Xp11.3	0.02	0.21	0.06	0.24	-0.19	0.0488	0.692	(B) Mesenchymal
ATP1B2	17p13.1	0.39	0.57	0.58	0.74	-0.19	0.580	0.883	(B) Mesenchymal
CALR	19p13.13	0.14	0.33	0.23	0.43	-0.19	0.289	0.767	(B) Mesenchymal
RNF225	19q13.43	0.45	0.64	0.54	0.64	-0.19	0.633	0.900	(B) Mesenchymal
VPS13D	1p36.22-p36.21	0.08	0.26	0.20	0.39	-0.19	0.235	0.742	(B) Mesenchymal
MTG1	10q26.3	0.18	0.37	0.18	0.45	-0.19	0.281	0.763	(B) Mesenchymal
PPP2R2C	4p16.1	0.94	1.13	0.93	0.83	-0.19	0.682	0.918	(B) Mesenchymal
ZNF579	19q13.42	0.19	0.38	0.27	0.50	-0.19	0.353	0.799	(B) Mesenchymal
LOC100289561	7q22.1	0.17	0.36	0.24	0.43	-0.19	0.290	0.768	(B) Mesenchymal
DCP1A	3p21.1	0.06	0.25	0.13	0.31	-0.19	0.132	0.701	(B) Mesenchymal
CCDC59	12q21.31	0.25	0.44	0.29	0.47	-0.19	0.346	0.797	(B) Mesenchymal
SPRYD4	12q13.3	0.09	0.27	0.15	0.39	-0.19	0.216	0.732	(B) Mesenchymal
HPCAL4	1p34.2	0.02	0.20	0.04	0.40	-0.19	0.203	0.721	(B) Mesenchymal
OGA	10q24.32	0.10	0.29	0.21	0.34	-0.19	0.198	0.720	(B) Mesenchymal
DHX29	5q11.2	0.11	0.30	0.20	0.44	-0.19	0.277	0.760	(B) Mesenchymal
ZNF44	19p13.2	0.02	0.21	0.05	0.29	-0.19	0.0930	0.692	(B) Mesenchymal
P2RX6	22q11.21	0.31	0.49	0.42	0.78	-0.19	0.597	0.888	(B) Mesenchymal
ADCY6-DT	12q13.12	0.25	0.44	0.31	0.73	-0.19	0.553	0.876	(B) Mesenchymal
RNASE7	14q11.2	0.27	0.45	0.60	0.54	-0.19	0.615	0.893	(B) Mesenchymal
NAXE	1q22	0.50	0.69	0.48	0.44	-0.19	0.435	0.829	(B) Mesenchymal
EVC2	4p16.2	0.12	0.31	0.32	0.33	-0.19	0.270	0.758	(B) Mesenchymal
PRUNE2	9q21.2	0.21	0.40	0.36	0.78	-0.19	0.532	0.868	(B) Mesenchymal
SUPT7L	2p23.3	0.10	0.29	0.23	0.25	-0.19	0.144	0.706	(B) Mesenchymal
MARK2	11q13.1	0.19	0.37	0.25	0.42	-0.19	0.286	0.766	(B) Mesenchymal
SP7	12q13.13	0.20	0.39	0.29	0.58	-0.19	0.566	0.879	(B) Mesenchymal
TAF1C	16q24.1	0.24	0.43	0.32	0.53	-0.19	0.396	0.816	(B) Mesenchymal
DHX30	3p21.31	0.23	0.41	0.25	0.45	-0.19	0.310	0.780	(B) Mesenchymal
ZNF79	9q33.3	0.01	0.20	0.02	0.32	-0.19	0.112	0.692	(B) Mesenchymal
SHISA2	13q12.13	0.30	0.49	0.74	0.66	-0.19	0.605	0.890	(B) Mesenchymal
NOXRED1	14q24.3	0.25	0.43	0.54	0.55	-0.19	0.503	0.856	(B) Mesenchymal
SFMBT1	3p21.1	0.22	0.41	0.35	0.48	-0.19	0.378	0.807	(B) Mesenchymal
TMEM201	1p36.22	0.52	0.70	0.77	0.63	-0.19	0.610	0.892	(B) Mesenchymal
LDLRAD4-AS1	18p11.21	0.52	0.71	0.63	0.75	-0.19	0.596	0.888	(B) Mesenchymal
CHST5	16q23.1	0.70	0.89	0.48	0.60	-0.19	0.495	0.854	(B) Mesenchymal
PFN4	2p23.3	0.37	0.56	0.46	0.56	-0.19	0.470	0.841	(B) Mesenchymal
ZBTB3	11q12.3	0.11	0.29	0.18	0.28	-0.19	0.129	0.700	(B) Mesenchymal
GPX8	5q11.2	0.11	0.30	0.29	0.40	-0.19	0.294	0.769	(B) Mesenchymal
HBEGF	5q31.3	0.18	0.37	0.36	0.49	-0.19	0.388	0.812	(B) Mesenchymal
FABP3	1p35.2	0.09	0.28	0.16	0.57	-0.19	0.364	0.803	(B) Mesenchymal
SLC7A2	8p22	0.08	0.27	0.22	0.63	-0.19	0.423	0.823	(B) Mesenchymal
CHD4	12p13.31	0.10	0.29	0.23	0.35	-0.19	0.221	0.735	(B) Mesenchymal
ABCA4	1p22.1	0.45	0.64	0.75	0.96	-0.19	0.676	0.916	(B) Mesenchymal
TEX29	13q34	0.10	0.29	0.20	0.48	-0.19	0.320	0.785	(B) Mesenchymal
HNF1A	12q24.31	0.15	0.34	0.29	0.60	-0.19	0.423	0.823	(B) Mesenchymal
CCDC85B	11q13.1	0.46	0.64	0.48	0.53	-0.19	0.471	0.842	(B) Mesenchymal
RTL8C	Xq26.3	0.14	0.32	0.23	0.31	-0.19	0.183	0.714	(B) Mesenchymal
DBN1	5q35.3	0.23	0.42	0.28	0.45	-0.19	0.320	0.785	(B) Mesenchymal
ZNF382	19q13.12	0.09	0.28	0.23	0.37	-0.19	0.233	0.741	(B) Mesenchymal
PRICKLE1	12q12	0.20	0.39	0.33	0.49	-0.19	0.374	0.805	(B) Mesenchymal
PMS2P2	7q11.23	0.46	0.65	0.50	0.48	-0.19	0.460	0.837	(B) Mesenchymal
TFAP2C	20q13.31	0.47	0.65	0.40	0.50	-0.19	0.411	0.821	(B) Mesenchymal
SLC27A5	19q13.43	0.43	0.62	0.49	0.59	-0.19	0.494	0.853	(B) Mesenchymal
SMAD4	18q21.2	0.19	0.38	0.26	0.35	-0.19	0.237	0.743	(B) Mesenchymal
GOLGA8S	15q11.2	0.25	0.44	0.37	0.43	-0.19	0.412	0.821	(B) Mesenchymal
MYBPC2	19q13.33	0.42	0.61	0.36	0.79	-0.19	0.585	0.885	(B) Mesenchymal
NDUFA12	12q22	0.07	0.26	0.13	0.39	-0.19	0.199	0.720	(B) Mesenchymal
CAMK2B	7p13	0.24	0.43	0.35	0.77	-0.19	0.525	0.864	(B) Mesenchymal
ADNP	20q13.13	0.20	0.39	0.28	0.40	-0.19	0.287	0.766	(B) Mesenchymal
ADNP2	18q23	0.15	0.34	0.24	0.44	-0.19	0.296	0.771	(B) Mesenchymal
TWIST2	2q37.3	0.14	0.33	0.24	0.56	-0.19	0.380	0.807	(B) Mesenchymal
GLYR1	16p13.3	0.08	0.27	0.17	0.36	-0.19	0.189	0.716	(B) Mesenchymal
RAB40A	Xq22.2	0.16	0.35	0.41	0.33	-0.19	0.340	0.796	(B) Mesenchymal
AURKC	19q13.43	0.22	0.41	0.37	0.54	-0.19	0.422	0.823	(B) Mesenchymal
CLASP2	3p22.3	0.12	0.31	0.19	0.42	-0.19	0.257	0.754	(B) Mesenchymal
UBE2E3	2q31.3	0.28	0.47	0.24	0.42	-0.19	0.280	0.762	(B) Mesenchymal
CYP51A1	7q21.2	0.15	0.34	0.21	0.44	-0.19	0.280	0.762	(B) Mesenchymal
EED	11q14.2	0.03	0.22	0.07	0.25	-0.19	0.0537	0.692	(B) Mesenchymal
LYPD6	2q23.2	0.43	0.62	0.42	0.76	-0.19	0.538	0.870	(B) Mesenchymal
SYTL2	11q14.1	0.04	0.23	0.10	0.35	-0.19	0.150	0.709	(B) Mesenchymal
CMTM8	3p22.3	0.26	0.45	0.38	0.50	-0.19	0.403	0.818	(B) Mesenchymal
KL	13q13.1	0.06	0.25	0.15	0.27	-0.19	0.0987	0.692	(B) Mesenchymal
USP37	2q35	0.13	0.32	0.25	0.36	-0.19	0.228	0.739	(B) Mesenchymal
CBFA2T2	20q11.21-q11.22	0.19	0.38	0.35	0.48	-0.19	0.374	0.806	(B) Mesenchymal
B3GNT8	19q13.2	0.14	0.33	0.24	0.55	-0.19	0.370	0.804	(B) Mesenchymal
PAX8	2q14.1	0.35	0.54	0.65	0.67	-0.19	0.577	0.883	(B) Mesenchymal
ARMC7	17q25.1	0.01	0.20	0.02	0.46	-0.19	0.254	0.752	(B) Mesenchymal
SUPT5H	19q13.2	0.14	0.33	0.38	0.51	-0.19	0.406	0.819	(B) Mesenchymal
CTNNB1	3p22.1	0.18	0.37	0.27	0.47	-0.19	0.328	0.790	(B) Mesenchymal
BLTP3A	6p21.31	0.06	0.25	0.10	0.31	-0.19	0.115	0.692	(B) Mesenchymal
SENCR	11q24.3	0.37	0.56	0.66	0.71	-0.19	0.589	0.886	(B) Mesenchymal
ITGA7	12q13.2	0.24	0.43	0.65	0.53	-0.19	0.539	0.870	(B) Mesenchymal
FOXQ1	6p25.3	0.21	0.40	0.33	0.54	-0.19	0.396	0.816	(B) Mesenchymal
LRPAP1	4p16.3	0.07	0.26	0.13	0.34	-0.19	0.156	0.712	(B) Mesenchymal
KIZ	20p11.23	0.03	0.22	0.06	0.34	-0.19	0.132	0.701	(B) Mesenchymal
KANTR	Xp11.22	0.25	0.44	0.39	0.59	-0.19	0.452	0.835	(B) Mesenchymal
C17ORF78	17q12	0.15	0.34	0.23	0.45	-0.19	0.305	0.776	(B) Mesenchymal
ZNF98	19p12	0.57	0.76	0.67	0.81	-0.19	0.628	0.898	(B) Mesenchymal
FHL2	2q12.2	0.40	0.59	0.40	0.67	-0.19	0.492	0.853	(B) Mesenchymal
ERG28	14q24.3	0.15	0.34	0.31	0.42	-0.19	0.310	0.780	(B) Mesenchymal
CASQ2	1p13.1	0.22	0.42	0.44	0.63	-0.19	0.489	0.852	(B) Mesenchymal
UBE2QL1	5p15.31	0.13	0.32	0.23	0.66	-0.19	0.438	0.830	(B) Mesenchymal
TNFRSF21	6p12.3	0.51	0.70	0.48	0.75	-0.19	0.547	0.873	(B) Mesenchymal
ABHD14A	3p21.2	0.13	0.32	0.23	0.41	-0.19	0.264	0.756	(B) Mesenchymal
COL4A5	Xq22.3	0.32	0.51	0.57	0.60	-0.19	0.529	0.866	(B) Mesenchymal
VCL	10q22.2	0.16	0.35	0.34	0.50	-0.19	0.378	0.807	(B) Mesenchymal
RECQL4	8q24.3	0.72	0.91	0.55	0.59	-0.19	0.515	0.860	(B) Mesenchymal
CT55	Xq26.3	0.06	0.25	0.11	0.47	-0.19	0.333	0.792	(B) Mesenchymal
FAM86B1	8p23.1	0.29	0.48	0.55	0.69	-0.19	0.547	0.873	(B) Mesenchymal
MVK	12q24.11	0.17	0.36	0.34	0.47	-0.19	0.359	0.800	(B) Mesenchymal
ACACA	17q12	0.19	0.38	0.38	0.39	-0.19	0.343	0.797	(B) Mesenchymal
NCAPD3	11q25	0.33	0.52	0.42	0.64	-0.19	0.485	0.850	(B) Mesenchymal
HNRNPL	19q13.2	0.08	0.27	0.17	0.28	-0.19	0.118	0.697	(B) Mesenchymal
PCDHA10	5q31.3	0.28	0.48	0.74	0.69	-0.19	0.613	0.893	(B) Mesenchymal
SPDYE8	7q11.23	0.17	0.36	0.29	0.46	-0.19	0.331	0.791	(B) Mesenchymal
CALCOCO1	12q13.13	0.02	0.21	0.04	0.33	-0.19	0.121	0.697	(B) Mesenchymal
ZNF778	16q24.3	0.28	0.47	0.32	0.51	-0.19	0.376	0.806	(B) Mesenchymal
ZNF814	19q13.43	0.24	0.43	0.48	0.52	-0.19	0.459	0.837	(B) Mesenchymal
ZBED5	11p15.4	0.07	0.26	0.13	0.44	-0.19	0.247	0.749	(B) Mesenchymal
RGPD5	2q13	0.21	0.40	0.27	0.41	-0.19	0.285	0.765	(B) Mesenchymal
PLCB3	11q13.1	0.14	0.33	0.21	0.38	-0.19	0.225	0.737	(B) Mesenchymal
RNF11	1p32.3	0.13	0.32	0.17	0.40	-0.19	0.224	0.736	(B) Mesenchymal
ADGRF3	2p23.3	0.23	0.42	0.32	0.56	-0.19	0.406	0.819	(B) Mesenchymal
MIEF2	17p11.2	0.12	0.31	0.21	0.44	-0.19	0.269	0.757	(B) Mesenchymal
MLH1	3p22.2	0.08	0.27	0.15	0.43	-0.19	0.240	0.744	(B) Mesenchymal
ZNF347	19q13.42	0.02	0.21	0.04	0.20	-0.19	0.0190	0.692	(B) Mesenchymal
C1QTNF3	5p13.2	0.08	0.27	0.21	0.48	-0.19	0.303	0.775	(B) Mesenchymal
SIMC1	5q35.2	0.33	0.52	0.39	0.52	-0.19	0.416	0.822	(B) Mesenchymal
STARD7	2q11.2	0.21	0.40	0.28	0.31	-0.19	0.217	0.732	(B) Mesenchymal
FBXO46	19q13.32	0.26	0.45	0.45	0.47	-0.19	0.418	0.822	(B) Mesenchymal
LINC00999	10p11.1	0.34	0.53	0.42	0.59	-0.19	0.461	0.838	(B) Mesenchymal
FAM222B	17q11.2	0.19	0.38	0.26	0.44	-0.19	0.297	0.772	(B) Mesenchymal
FBXO17	19q13.2	0.56	0.75	0.46	0.48	-0.19	0.433	0.827	(B) Mesenchymal
OXA1L	14q11.2	0.02	0.21	0.04	0.27	-0.19	0.0651	0.692	(B) Mesenchymal
DNAJC3	13q32.1	0.13	0.33	0.26	0.37	-0.19	0.246	0.749	(B) Mesenchymal
CHRNA10	11p15.4	0.09	0.28	0.19	0.43	-0.19	0.256	0.754	(B) Mesenchymal
LINC01606	8q12.1	0.65	0.84	0.96	1.17	-0.19	0.785	0.947	(B) Mesenchymal
STK11IP	2q35	0.08	0.27	0.21	0.25	-0.19	0.121	0.697	(B) Mesenchymal
CYP4F22	19p13.12	0.14	0.33	0.24	0.56	-0.19	0.371	0.805	(B) Mesenchymal
LINC00504	4p15.33	0.13	0.32	0.24	0.68	-0.19	0.451	0.835	(B) Mesenchymal
CDK16	Xp11.3	0.41	0.60	0.42	0.54	-0.19	0.437	0.829	(B) Mesenchymal
NDUFB1	14q31.3	0.10	0.29	0.17	0.28	-0.19	0.114	0.692	(B) Mesenchymal
ZNF90	19p12	0.42	0.61	0.51	0.52	-0.19	0.473	0.843	(B) Mesenchymal
SRPRA	11q24.2	0.15	0.34	0.27	0.47	-0.19	0.324	0.788	(B) Mesenchymal
HOXC13-AS	12q13.13	0.22	0.42	0.43	0.55	-0.19	0.447	0.833	(B) Mesenchymal
PRKCSH	19p13.2	0.13	0.33	0.22	0.49	-0.19	0.314	0.782	(B) Mesenchymal
USP47	11p15.3	0.06	0.26	0.11	0.37	-0.19	0.172	0.714	(B) Mesenchymal
AIRN	6q25.3	0.06	0.26	0.15	0.32	-0.19	0.164	0.714	(B) Mesenchymal
PAOX	10q26.3	0.00	0.19	0.00	0.39	-0.19	0.178	0.714	(B) Mesenchymal
PIAS3	1q21.1	0.12	0.32	0.12	0.51	-0.19	0.302	0.775	(B) Mesenchymal
FXYD1	19q13.12	0.17	0.36	0.30	0.72	-0.19	0.482	0.849	(B) Mesenchymal
ZNF841	19q13.41	0.10	0.29	0.18	0.37	-0.19	0.197	0.720	(B) Mesenchymal
FAXC	6q16.2	0.36	0.56	0.42	0.69	-0.19	0.505	0.856	(B) Mesenchymal
BMP2K	4q21.21	0.03	0.22	0.07	0.45	-0.19	0.239	0.744	(B) Mesenchymal
GNB3	12p13.31	0.44	0.64	0.49	0.77	-0.19	0.554	0.877	(B) Mesenchymal
TIMM50	19q13.2	0.24	0.43	0.38	0.50	-0.19	0.397	0.816	(B) Mesenchymal
DCAF17	2q31.1	0.18	0.38	0.19	0.28	-0.19	0.127	0.700	(B) Mesenchymal
TMPO	12q23.1	0.29	0.48	0.37	0.60	-0.19	0.445	0.833	(B) Mesenchymal
SUGT1P3	13q14.11	0.05	0.24	0.10	0.45	-0.19	0.277	0.760	(B) Mesenchymal
LINC01106	2q13	0.62	0.81	0.62	0.70	-0.19	0.571	0.881	(B) Mesenchymal
SIPA1L3	19q13.13-q13.2	0.22	0.41	0.38	0.43	-0.19	0.359	0.800	(B) Mesenchymal
A4GNT	3q22.3	0.50	0.69	0.56	0.79	-0.19	0.618	0.894	(B) Mesenchymal
SCFD2	4q12	0.10	0.29	0.18	0.40	-0.19	0.227	0.738	(B) Mesenchymal
GSR	8p12	0.05	0.24	0.08	0.43	-0.19	0.224	0.737	(B) Mesenchymal
FASTKD3	5p15.31	0.26	0.45	0.33	0.63	-0.19	0.441	0.831	(B) Mesenchymal
ATP6V1A	3q13.31	0.06	0.26	0.10	0.33	-0.19	0.127	0.700	(B) Mesenchymal
SPRR1A	1q21.3	0.22	0.42	0.39	0.86	-0.19	0.680	0.918	(B) Mesenchymal
DMKN	19q13.12	0.77	0.96	0.97	0.95	-0.19	0.696	0.923	(B) Mesenchymal
FAM86B3P	8p23.1	0.10	0.29	0.26	0.54	-0.19	0.362	0.802	(B) Mesenchymal
LINC00964	8q24.13	0.94	1.13	0.76	0.92	-0.19	0.654	0.908	(B) Mesenchymal
DOCK5	8p21.2	0.33	0.52	0.33	0.51	-0.19	0.374	0.806	(B) Mesenchymal
GUCY2C	12p12.3	0.16	0.36	0.29	0.43	-0.19	0.325	0.788	(B) Mesenchymal
