Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
LRRC4C	11p12	0.74	0.40	0.74	0.80	0.34	0.380	0.720	(A) Immunomodulatory
CBLN2	18q22.3	0.51	0.25	0.59	0.46	0.26	0.380	0.720	(A) Immunomodulatory
HNRNPA2B1	7p15.2	0.22	0.12	0.27	0.16	0.10	0.380	0.720	(A) Immunomodulatory
TMEM59	1p32.3	0.20	0.35	0.28	0.38	-0.15	0.380	0.720	(B) Mesenchymal
BIN1	2q14.3	0.46	0.28	0.46	0.39	0.19	0.380	0.720	(A) Immunomodulatory
TBCD	17q25.3	0.15	0.35	0.24	0.59	-0.20	0.380	0.720	(B) Mesenchymal
BAD	11q13.1	0.27	0.45	0.40	0.42	-0.18	0.380	0.720	(B) Mesenchymal
ADIPOR2	12p13.33	0.15	0.36	0.41	0.54	-0.21	0.380	0.720	(B) Mesenchymal
FANCA	16q24.3	0.24	0.43	0.31	0.53	-0.19	0.380	0.720	(B) Mesenchymal
SCAMP1	5q14.1	0.15	0.27	0.25	0.31	-0.12	0.380	0.720	(B) Mesenchymal
ZNF222	19q13.31	0.22	0.36	0.24	0.39	-0.14	0.380	0.720	(B) Mesenchymal
SLC16A1	1p13.2	0.49	0.77	0.68	0.57	-0.28	0.380	0.720	(B) Mesenchymal
LRRC1	6p12.1	0.38	0.17	0.57	0.35	0.21	0.380	0.720	(A) Immunomodulatory
FAM238B	10p12.1	0.09	0.54	0.18	0.87	-0.45	0.380	0.720	(B) Mesenchymal
PACS1	11q13.1-q13.2	0.10	0.21	0.17	0.32	-0.11	0.380	0.720	(B) Mesenchymal
MKRN2OS	3p25.2	0.28	0.57	0.43	0.87	-0.30	0.380	0.720	(B) Mesenchymal
LINC00189	21q21.3	0.27	0.10	0.31	0.18	0.16	0.381	0.721	(A) Immunomodulatory
PRDM6	5q23.2	0.29	0.12	0.44	0.35	0.18	0.381	0.721	(A) Immunomodulatory
TMEM240	1p36.33	0.35	0.20	0.34	0.31	0.14	0.381	0.721	(A) Immunomodulatory
ZBTB49	4p16.3	0.22	0.12	0.25	0.24	0.11	0.381	0.721	(A) Immunomodulatory
PSMD2	3q27.1	0.27	0.44	0.30	0.45	-0.17	0.381	0.721	(B) Mesenchymal
A2M-AS1	12p13.31	0.44	0.28	0.38	0.36	0.16	0.381	0.721	(A) Immunomodulatory
EIF4EBP2	10q22.1	0.13	0.28	0.24	0.42	-0.15	0.381	0.721	(B) Mesenchymal
FAM111B	11q12.1	0.36	0.61	0.53	0.65	-0.26	0.381	0.721	(B) Mesenchymal
C1QTNF6	22q12.3	0.15	0.06	0.22	0.17	0.09	0.381	0.721	(A) Immunomodulatory
PSCA	8q24.3	0.32	0.58	0.48	0.69	-0.26	0.381	0.721	(B) Mesenchymal
CD81-AS1	11p15.5	0.49	0.23	0.56	0.51	0.26	0.381	0.721	(A) Immunomodulatory
MCM3AP	21q22.3	0.11	0.22	0.18	0.30	-0.11	0.381	0.721	(B) Mesenchymal
TMEM54	1p35.1	0.14	0.34	0.38	0.54	-0.20	0.381	0.721	(B) Mesenchymal
U2AF1	21q22.3	0.38	0.24	0.36	0.25	0.14	0.381	0.721	(A) Immunomodulatory
PCM1	8p22	0.28	0.17	0.26	0.26	0.11	0.381	0.721	(A) Immunomodulatory
ATP2C1	3q22.1	0.12	0.23	0.19	0.27	-0.10	0.381	0.721	(B) Mesenchymal
NHERF4	11q23.3	0.21	0.01	0.39	0.02	0.20	0.381	0.721	(A) Immunomodulatory
NAP1L3	Xq21.32	0.35	0.21	0.37	0.26	0.14	0.382	0.721	(A) Immunomodulatory
MAGI2-AS3	7q21.11	0.37	0.19	0.46	0.39	0.19	0.382	0.721	(A) Immunomodulatory
METTL21EP	13q33.1	0.29	0.04	0.61	0.11	0.24	0.382	0.721	(A) Immunomodulatory
HEXB	5q13.3	0.31	0.16	0.35	0.34	0.15	0.382	0.721	(A) Immunomodulatory
UBE2H	7q32.2	0.18	0.33	0.19	0.46	-0.15	0.382	0.721	(B) Mesenchymal
F8	Xq28	0.21	0.08	0.32	0.25	0.13	0.382	0.721	(A) Immunomodulatory
NCOA5	20q13.12	0.21	0.36	0.20	0.47	-0.16	0.382	0.721	(B) Mesenchymal
LINC00115	1p36.33	0.48	0.25	0.50	0.51	0.22	0.382	0.721	(A) Immunomodulatory
MRPS17	7p11.2	0.70	0.35	1.02	0.38	0.35	0.382	0.721	(A) Immunomodulatory
PROCA1	17q11.2	0.20	0.09	0.26	0.25	0.11	0.382	0.721	(A) Immunomodulatory
RNASE4	14q11.2	0.14	0.27	0.18	0.39	-0.13	0.382	0.721	(B) Mesenchymal
RHOQ	2p21	0.12	0.27	0.15	0.46	-0.15	0.382	0.721	(B) Mesenchymal
HIF1A-AS2	14q23.2	0.79	0.48	0.81	0.56	0.31	0.382	0.721	(A) Immunomodulatory
WWC3	Xp22.2	0.49	0.28	0.36	0.56	0.21	0.382	0.721	(A) Immunomodulatory
PLPPR4	1p21.3-p21.2	0.30	0.47	0.28	0.47	-0.17	0.382	0.721	(B) Mesenchymal
OSMR-DT	5p13.1	0.05	0.18	0.10	0.38	-0.14	0.382	0.721	(B) Mesenchymal
ANAPC5	12q24.31	0.28	0.46	0.24	0.53	-0.18	0.382	0.721	(B) Mesenchymal
GOLGA1	9q33.3	0.04	0.01	0.09	0.03	0.03	0.382	0.721	(A) Immunomodulatory
NUDCD2	5q34	0.24	0.12	0.30	0.22	0.12	0.382	0.721	(A) Immunomodulatory
TCTN3	10q24.1	0.20	0.11	0.21	0.19	0.09	0.382	0.721	(A) Immunomodulatory
SLC12A1	15q21.1	0.44	0.78	0.53	0.93	-0.34	0.382	0.722	(B) Mesenchymal
P2RY1	3q25.2	0.13	0.30	0.25	0.49	-0.17	0.382	0.722	(B) Mesenchymal
C11ORF65	11q22.3	0.50	0.31	0.39	0.48	0.19	0.383	0.722	(A) Immunomodulatory
ANKRD36C	2q11.1	0.23	0.49	0.38	0.74	-0.25	0.383	0.722	(B) Mesenchymal
INPP5B	1p34.3	0.09	0.03	0.19	0.06	0.06	0.383	0.722	(A) Immunomodulatory
UTP23	8q24.11	0.31	0.51	0.42	0.50	-0.20	0.383	0.722	(B) Mesenchymal
RSRC2	12q24.31	0.34	0.21	0.29	0.28	0.12	0.383	0.722	(A) Immunomodulatory
FAM223A	Xq28	0.39	0.14	0.45	0.34	0.25	0.383	0.722	(A) Immunomodulatory
PRKAA2	1p32.2	0.05	0.16	0.15	0.32	-0.11	0.383	0.722	(B) Mesenchymal
LINC00858	10q23.1	0.36	1.05	0.63	1.00	-0.68	0.383	0.722	(B) Mesenchymal
ZNHIT2	11q13.1	0.31	0.52	0.49	0.49	-0.21	0.383	0.722	(B) Mesenchymal
SLC35F1	6q22.2-q22.31	0.44	0.75	0.75	0.64	-0.31	0.383	0.722	(B) Mesenchymal
SUGT1P1	9p13.3	0.19	0.40	0.33	0.56	-0.21	0.383	0.722	(B) Mesenchymal
MCIDAS	5q11.2	0.09	0.29	0.18	0.54	-0.19	0.383	0.722	(B) Mesenchymal
PPOX	1q23.3	0.26	0.41	0.31	0.41	-0.16	0.383	0.722	(B) Mesenchymal
ASMTL-AS1	Xp22.33 and Yp11.32	0.15	0.34	0.24	0.58	-0.19	0.383	0.722	(B) Mesenchymal
HEATR5B	2p22.2	0.10	0.20	0.18	0.29	-0.11	0.383	0.722	(B) Mesenchymal
PJVK	2q31.2	0.18	0.33	0.34	0.32	-0.15	0.383	0.722	(B) Mesenchymal
MLF1-DT	3q25.32	0.32	0.19	0.34	0.25	0.13	0.383	0.722	(A) Immunomodulatory
ARAF	Xp11.3	0.14	0.26	0.25	0.31	-0.12	0.384	0.723	(B) Mesenchymal
MMP14	14q11.2	0.13	0.30	0.25	0.48	-0.17	0.384	0.723	(B) Mesenchymal
OXLD1	17q25.3	0.26	0.46	0.29	0.58	-0.20	0.384	0.723	(B) Mesenchymal
RAB6B	3q22.1	0.39	0.61	0.55	0.46	-0.22	0.384	0.723	(B) Mesenchymal
RSF1	11q14.1	0.45	0.24	0.57	0.33	0.21	0.384	0.723	(A) Immunomodulatory
XRCC6	22q13.2	0.18	0.34	0.27	0.43	-0.16	0.384	0.723	(B) Mesenchymal
LRRCC1	8q21.2	0.29	0.52	0.52	0.55	-0.23	0.384	0.723	(B) Mesenchymal
STRADA	17q23.3	0.14	0.07	0.17	0.15	0.07	0.384	0.723	(A) Immunomodulatory
PHF21B	22q13.31	0.27	0.68	0.40	1.06	-0.40	0.384	0.723	(B) Mesenchymal
OGN	9q22.31	0.75	0.45	0.72	0.66	0.30	0.384	0.723	(A) Immunomodulatory
FBXO22	15q24.2	0.08	0.19	0.17	0.30	-0.11	0.384	0.723	(B) Mesenchymal
TRIM58	1q44	0.55	0.27	0.78	0.44	0.28	0.385	0.724	(A) Immunomodulatory
MTMR1	Xq28	0.29	0.17	0.27	0.27	0.12	0.385	0.724	(A) Immunomodulatory
ZFYVE1	14q24.2	0.14	0.06	0.19	0.14	0.07	0.385	0.724	(A) Immunomodulatory
GRIA3	Xq25	0.55	0.31	0.60	0.52	0.25	0.385	0.724	(A) Immunomodulatory
SLC44A2	19p13.2	0.19	0.39	0.52	0.40	-0.21	0.385	0.724	(B) Mesenchymal
MED30	8q24.11	0.32	0.51	0.34	0.55	-0.20	0.385	0.724	(B) Mesenchymal
SNUPN	15q24.2	0.28	0.17	0.24	0.27	0.11	0.385	0.724	(A) Immunomodulatory
H1-2	6p22.2	0.65	1.04	0.85	0.94	-0.39	0.385	0.724	(B) Mesenchymal
UTP15	5q13.2	0.06	0.15	0.11	0.28	-0.09	0.385	0.724	(B) Mesenchymal
TPSB2	16p13.3	0.60	0.34	0.66	0.53	0.26	0.385	0.724	(A) Immunomodulatory
KIF2C	1p34.1	0.16	0.35	0.39	0.46	-0.18	0.385	0.724	(B) Mesenchymal
H4C2	6p22.2	0.23	0.55	0.40	0.58	-0.33	0.386	0.725	(B) Mesenchymal
CENPS	1p36.22	0.16	0.31	0.23	0.45	-0.15	0.386	0.725	(B) Mesenchymal
LINC00265	7p14.1	0.13	0.27	0.29	0.36	-0.14	0.386	0.725	(B) Mesenchymal
LRP8-DT	1p32.3	0.22	0.57	0.29	0.78	-0.35	0.386	0.725	(B) Mesenchymal
ZNF630-AS1	Xp11.23	0.36	0.67	0.59	0.61	-0.32	0.386	0.725	(B) Mesenchymal
OVGP1	1p13.2	0.14	0.04	0.29	0.09	0.10	0.386	0.725	(A) Immunomodulatory
TUBGCP2	10q26.3	0.10	0.26	0.16	0.51	-0.16	0.386	0.725	(B) Mesenchymal
LINC02249	15q13.2	0.25	0.57	0.51	0.75	-0.32	0.386	0.725	(B) Mesenchymal
SHISA6	17p12	0.34	0.67	0.48	0.92	-0.33	0.386	0.725	(B) Mesenchymal
NR5A2	1q32.1	0.47	0.29	0.38	0.42	0.17	0.386	0.725	(A) Immunomodulatory
COX6A1	12q24.31	0.30	0.51	0.37	0.61	-0.22	0.386	0.725	(B) Mesenchymal
LRRC42	1p32.3	0.12	0.28	0.27	0.42	-0.15	0.386	0.725	(B) Mesenchymal
PITX1-AS1	5q31.1	0.14	0.27	0.23	0.37	-0.13	0.386	0.725	(B) Mesenchymal
SYT6	1p13.2	0.38	0.68	0.57	0.84	-0.31	0.386	0.725	(B) Mesenchymal
MED26	19p13.11	0.34	0.19	0.40	0.30	0.16	0.386	0.725	(A) Immunomodulatory
KIAA1143	3p21.31	0.07	0.16	0.10	0.28	-0.09	0.386	0.725	(B) Mesenchymal
EARS2	16p12.2	0.10	0.23	0.18	0.37	-0.12	0.387	0.725	(B) Mesenchymal
CAMK1D	10p13	0.36	0.16	0.54	0.37	0.20	0.387	0.725	(A) Immunomodulatory
UGT2B7	4q13.2	0.37	1.05	0.82	1.24	-0.68	0.387	0.725	(B) Mesenchymal
RIPK2	8q21.3	0.46	0.26	0.45	0.45	0.20	0.387	0.725	(A) Immunomodulatory
SYAP1	Xp22.2	0.34	0.53	0.41	0.44	-0.19	0.387	0.725	(B) Mesenchymal
TSPAN33	7q32.1	0.33	0.54	0.37	0.57	-0.21	0.387	0.725	(B) Mesenchymal
SPHKAP	2q36.3	1.03	0.57	0.81	1.11	0.46	0.387	0.726	(A) Immunomodulatory
EEF2	19p13.3	0.17	0.06	0.30	0.18	0.11	0.387	0.726	(A) Immunomodulatory
RCAN1	21q22.12	0.24	0.46	0.32	0.64	-0.22	0.387	0.726	(B) Mesenchymal
REL	2p16.1	0.17	0.07	0.24	0.20	0.10	0.387	0.726	(A) Immunomodulatory
ASAP1-IT1	8q24.21	0.62	0.40	0.53	0.46	0.22	0.387	0.726	(A) Immunomodulatory
NLGN4X	Xp22.32-p22.31	0.75	0.47	0.66	0.65	0.28	0.387	0.726	(A) Immunomodulatory
RBX1	22q13.2	0.15	0.30	0.23	0.42	-0.14	0.387	0.726	(B) Mesenchymal
CDH4	20q13.33	0.65	1.06	0.84	1.06	-0.41	0.387	0.726	(B) Mesenchymal
MYCN	2p24.3	0.44	0.71	0.55	0.73	-0.28	0.387	0.726	(B) Mesenchymal
CSNK2A3	11p15.4	0.33	0.53	0.46	0.46	-0.20	0.387	0.726	(B) Mesenchymal
ASB9P1	15q26.1	0.03	0.13	0.05	0.32	-0.10	0.387	0.726	(B) Mesenchymal
TMEM150A	2p11.2	0.11	0.25	0.26	0.35	-0.13	0.388	0.726	(B) Mesenchymal
PABPC1L	20q13.12	0.21	0.37	0.39	0.35	-0.16	0.388	0.726	(B) Mesenchymal
NR2F1	5q15	0.33	0.58	0.37	0.75	-0.25	0.388	0.726	(B) Mesenchymal
FRMPD4	Xp22.2	0.32	0.63	0.42	0.65	-0.31	0.388	0.726	(B) Mesenchymal
SOCS5	2p21	0.14	0.27	0.22	0.39	-0.14	0.388	0.726	(B) Mesenchymal
SLC35F3	1q42.2	0.40	0.73	0.54	0.96	-0.33	0.388	0.726	(B) Mesenchymal
KRT1	12q13.13	0.56	0.19	0.69	0.39	0.36	0.388	0.726	(A) Immunomodulatory
LY6D	8q24.3	0.91	0.46	1.06	0.85	0.45	0.388	0.726	(A) Immunomodulatory
AVEN	15q14	0.31	0.17	0.33	0.30	0.14	0.388	0.726	(A) Immunomodulatory
OR2A2	7q35	0.00	0.17	0.01	0.32	-0.16	0.388	0.726	(B) Mesenchymal
TLL1	4q32.3	0.39	0.18	0.54	0.36	0.20	0.388	0.726	(A) Immunomodulatory
NBPF11	1q21.2	0.19	0.34	0.28	0.44	-0.16	0.388	0.727	(B) Mesenchymal
GNAS-AS1	20q13.32	0.36	0.84	0.72	0.82	-0.47	0.388	0.727	(B) Mesenchymal
DLX4	17q21.33	0.38	0.63	0.40	0.74	-0.25	0.388	0.727	(B) Mesenchymal
LINC01150	11p15.5	0.43	0.23	0.60	0.24	0.20	0.388	0.727	(A) Immunomodulatory
CD1A	1q23.1	0.88	0.54	0.68	0.90	0.34	0.388	0.727	(A) Immunomodulatory
ZNF493	19p12	0.23	0.41	0.37	0.47	-0.18	0.388	0.727	(B) Mesenchymal
DKKL1	19q13.33	0.40	0.19	0.61	0.28	0.21	0.388	0.727	(A) Immunomodulatory
SPP1	4q22.1	0.26	0.52	0.57	0.63	-0.26	0.389	0.727	(B) Mesenchymal
EHD2	19q13.33	0.13	0.32	0.36	0.52	-0.19	0.389	0.727	(B) Mesenchymal
ARL8B	3p26.1	0.23	0.41	0.40	0.44	-0.18	0.389	0.727	(B) Mesenchymal
IGF2R	6q25.3	0.12	0.26	0.18	0.42	-0.14	0.389	0.727	(B) Mesenchymal
MAPRE1	20q11.21	0.30	0.16	0.33	0.29	0.13	0.389	0.727	(A) Immunomodulatory
H2AC14	6p22.1	0.64	0.99	0.80	0.34	-0.35	0.389	0.727	(B) Mesenchymal
SLC9C1	3q13.2	0.19	0.43	0.37	0.60	-0.24	0.389	0.727	(B) Mesenchymal
ZBTB24	6q21	0.13	0.24	0.21	0.31	-0.11	0.389	0.727	(B) Mesenchymal
GAS7	17p13.1	0.35	0.16	0.51	0.33	0.19	0.389	0.727	(A) Immunomodulatory
ARK2N	18q21.1	0.21	0.37	0.29	0.48	-0.17	0.389	0.727	(B) Mesenchymal
ZNF136	19p13.2	0.26	0.14	0.29	0.27	0.12	0.389	0.727	(A) Immunomodulatory
SEMA6A-AS1	5q23.1	0.17	0.36	0.41	0.47	-0.20	0.389	0.727	(B) Mesenchymal
TMTC4	13q32.3	0.48	0.25	0.52	0.53	0.23	0.389	0.727	(A) Immunomodulatory
PNLIPRP2	10q25.3	1.06	0.41	1.00	0.48	0.64	0.389	0.727	(A) Immunomodulatory
MTA3	2p21	0.18	0.30	0.25	0.30	-0.12	0.389	0.727	(B) Mesenchymal
TWF1	12q12	0.12	0.22	0.13	0.31	-0.10	0.389	0.727	(B) Mesenchymal
HBB	11p15.4	0.82	0.42	1.19	0.47	0.41	0.389	0.727	(A) Immunomodulatory
AR	Xq12	0.34	0.61	0.58	0.66	-0.26	0.389	0.727	(B) Mesenchymal
SPMIP8	16q21	0.75	0.41	0.70	0.72	0.34	0.389	0.727	(A) Immunomodulatory
EPCAM	2p21	0.33	0.55	0.47	0.56	-0.22	0.390	0.727	(B) Mesenchymal
NR2E1	6q21	0.57	0.30	0.64	0.60	0.27	0.390	0.727	(A) Immunomodulatory
TARS2	1q21.2	0.43	0.26	0.35	0.43	0.17	0.390	0.727	(A) Immunomodulatory
KRT10-AS1	17q21.2	0.13	0.27	0.34	0.31	-0.14	0.390	0.727	(B) Mesenchymal
PRELID3B	20q13.32	0.28	0.45	0.34	0.45	-0.17	0.390	0.727	(B) Mesenchymal
SCAF4	21q22.11	0.21	0.39	0.37	0.46	-0.18	0.390	0.727	(B) Mesenchymal
LGALS8	1q43	0.16	0.07	0.23	0.17	0.09	0.390	0.727	(A) Immunomodulatory
ACP3	3q22.1	0.50	0.27	0.61	0.41	0.23	0.390	0.727	(A) Immunomodulatory
MCRS1	12q13.12	0.08	0.18	0.13	0.29	-0.10	0.390	0.727	(B) Mesenchymal
PTGES3L-AARSD1	17q21.31	0.55	0.31	0.58	0.34	0.24	0.390	0.727	(A) Immunomodulatory
FAP	2q24.2	0.31	0.18	0.35	0.26	0.14	0.390	0.727	(A) Immunomodulatory
GPHN	14q23.3	0.21	0.37	0.32	0.44	-0.16	0.390	0.727	(B) Mesenchymal
NMU	4q12	0.93	0.57	0.74	0.93	0.36	0.390	0.727	(A) Immunomodulatory
S100PBP	1p35.1	0.12	0.06	0.18	0.09	0.06	0.390	0.727	(A) Immunomodulatory
PPP1CC	12q24.11	0.26	0.39	0.05	0.44	-0.14	0.390	0.727	(B) Mesenchymal
CEBPD	8q11.21	0.37	0.19	0.42	0.41	0.18	0.390	0.727	(A) Immunomodulatory
PTBP3	9q32	0.08	0.21	0.12	0.40	-0.13	0.390	0.727	(B) Mesenchymal
GPATCH8	17q21.31	0.08	0.20	0.14	0.39	-0.12	0.390	0.727	(B) Mesenchymal
PRKAG1	12q13.12	0.07	0.18	0.12	0.35	-0.11	0.390	0.727	(B) Mesenchymal
RAB11FIP2	10q26.11	0.24	0.12	0.27	0.25	0.11	0.390	0.727	(A) Immunomodulatory
TMEM158	3p21.31	0.43	0.68	0.49	0.69	-0.26	0.391	0.727	(B) Mesenchymal
RFWD3	16q23.1	0.13	0.25	0.18	0.35	-0.12	0.391	0.727	(B) Mesenchymal
MRPL46	15q25.3	0.32	0.16	0.47	0.23	0.17	0.391	0.727	(A) Immunomodulatory
PODXL	7q32.3	0.35	0.53	0.38	0.47	-0.18	0.391	0.727	(B) Mesenchymal
CLK2	1q22	0.14	0.28	0.16	0.41	-0.13	0.391	0.727	(B) Mesenchymal
PRPH	12q13.12	0.43	0.70	0.49	0.77	-0.28	0.391	0.727	(B) Mesenchymal
AGO3	1p34.3	0.04	0.12	0.06	0.25	-0.08	0.391	0.727	(B) Mesenchymal
GRID1-AS1	10q23.1	0.09	0.34	0.15	0.49	-0.25	0.391	0.727	(B) Mesenchymal
TFR2	7q22.1	0.56	0.87	0.76	0.67	-0.31	0.391	0.727	(B) Mesenchymal
AIG1	6q24.2	0.41	0.21	0.58	0.25	0.20	0.391	0.727	(A) Immunomodulatory
C8G	9q34.3	0.59	0.36	0.57	0.47	0.23	0.391	0.727	(A) Immunomodulatory
MRPL49	11q13.1	0.22	0.13	0.23	0.23	0.10	0.391	0.727	(A) Immunomodulatory
SORCS1	10q25.1	0.29	0.75	0.36	1.04	-0.46	0.391	0.728	(B) Mesenchymal
HIGD1B	17q21.31	0.23	0.41	0.29	0.52	-0.18	0.391	0.728	(B) Mesenchymal
ZNF516-DT	18q23	0.11	0.34	0.21	0.63	-0.23	0.391	0.728	(B) Mesenchymal
SULT1A2	16p11.2	0.45	0.21	0.64	0.26	0.24	0.391	0.728	(A) Immunomodulatory
PDE6A	5q32	0.14	0.31	0.27	0.47	-0.17	0.391	0.728	(B) Mesenchymal
KCNC2	12q21.1	0.48	1.08	0.91	1.30	-0.60	0.392	0.728	(B) Mesenchymal
FAM204A	10q26.11	0.25	0.14	0.30	0.19	0.11	0.392	0.728	(A) Immunomodulatory
MRPL23-AS1	11p15.5	0.19	0.54	0.22	0.88	-0.34	0.392	0.728	(B) Mesenchymal
SYNPO2	4q26	0.58	0.31	0.61	0.63	0.27	0.392	0.728	(A) Immunomodulatory
NDUFS4	5q11.2	0.30	0.16	0.30	0.33	0.13	0.392	0.728	(A) Immunomodulatory
COQ3	6q16.2	0.33	0.50	0.28	0.51	-0.17	0.392	0.728	(B) Mesenchymal
RNF122	8p12	0.55	0.36	0.42	0.46	0.19	0.392	0.728	(A) Immunomodulatory
ANXA5	4q27	0.30	0.16	0.29	0.35	0.14	0.392	0.728	(A) Immunomodulatory
OTUB2	14q32.12	0.27	0.12	0.39	0.31	0.15	0.392	0.728	(A) Immunomodulatory
ZPR1	11q23.3	0.08	0.17	0.16	0.23	-0.08	0.392	0.728	(B) Mesenchymal
BASP1-AS1	5p15.1	0.22	0.41	0.35	0.36	-0.18	0.392	0.728	(B) Mesenchymal
PCDHB1	5q31.3	0.14	0.51	0.24	0.59	-0.37	0.392	0.728	(B) Mesenchymal
ADRA2B	2q11.2	0.21	0.46	0.59	0.61	-0.26	0.392	0.728	(B) Mesenchymal
RELL2	5q31.3	0.20	0.39	0.33	0.54	-0.19	0.392	0.728	(B) Mesenchymal
OCLN	5q13.2	0.13	0.31	0.22	0.56	-0.18	0.392	0.728	(B) Mesenchymal
POTEF	2q21.1	0.50	0.99	0.70	1.09	-0.49	0.392	0.728	(B) Mesenchymal
LINC01224	19p12	0.36	0.84	0.80	0.96	-0.48	0.392	0.728	(B) Mesenchymal
UBE2S	19q13.42	0.51	0.80	0.71	0.66	-0.29	0.392	0.728	(B) Mesenchymal
TMPRSS11A	4q13.2	0.34	0.10	0.38	0.22	0.24	0.392	0.728	(A) Immunomodulatory
DEGS2	14q32.2	0.35	0.63	0.54	0.78	-0.29	0.393	0.728	(B) Mesenchymal
LIN28A	1p36.11	0.18	0.39	0.35	0.46	-0.21	0.393	0.728	(B) Mesenchymal
FAM95C	9p13.1	0.45	0.22	0.63	0.43	0.23	0.393	0.728	(A) Immunomodulatory
RPS4X	Xq13.1	0.34	0.18	0.39	0.37	0.16	0.393	0.728	(A) Immunomodulatory
PPIP5K1	15q15.3	0.06	0.16	0.16	0.26	-0.09	0.393	0.728	(B) Mesenchymal
SOX7	8p23.1	0.33	0.55	0.42	0.58	-0.21	0.393	0.728	(B) Mesenchymal
LINC00547	13q13.3	0.47	0.19	0.28	0.33	0.28	0.393	0.728	(A) Immunomodulatory
CIRBP	19p13.3	0.21	0.11	0.23	0.23	0.10	0.393	0.728	(A) Immunomodulatory
RNF7	3q23	0.23	0.38	0.33	0.36	-0.15	0.393	0.728	(B) Mesenchymal
ASIP	20q11.22	0.42	0.15	0.77	0.33	0.27	0.393	0.728	(A) Immunomodulatory
INTS6-AS1	13q14.3	0.41	0.61	0.38	0.57	-0.21	0.393	0.728	(B) Mesenchymal
PACSIN2	22q13.2	0.15	0.31	0.35	0.42	-0.16	0.393	0.728	(B) Mesenchymal
PCDH7	4p15.1	0.25	0.12	0.37	0.20	0.13	0.393	0.728	(A) Immunomodulatory
LRRC18	10q11.23	0.41	0.15	0.65	0.38	0.26	0.393	0.728	(A) Immunomodulatory
POU5F1	6p21.33	0.42	0.75	0.67	0.87	-0.33	0.393	0.728	(B) Mesenchymal
PHF12	17q11.2	0.10	0.20	0.16	0.27	-0.09	0.393	0.728	(B) Mesenchymal
APPL2	12q23.3	0.10	0.18	0.11	0.25	-0.08	0.393	0.728	(B) Mesenchymal
XPNPEP2	Xq26.1	0.33	0.55	0.43	0.57	-0.21	0.393	0.728	(B) Mesenchymal
RDH14	2p24.2	0.27	0.41	0.31	0.35	-0.14	0.393	0.728	(B) Mesenchymal
CTNNB1	3p22.1	0.21	0.37	0.23	0.47	-0.16	0.393	0.728	(B) Mesenchymal
PAH	12q23.2	0.40	0.88	0.62	1.10	-0.48	0.393	0.728	(B) Mesenchymal
CFAP46	10q26.3	0.08	0.25	0.17	0.52	-0.17	0.393	0.728	(B) Mesenchymal
NELFB	9q34.3	0.28	0.16	0.36	0.17	0.12	0.394	0.728	(A) Immunomodulatory
EPS8L1	19q13.42	0.15	0.35	0.28	0.62	-0.20	0.394	0.728	(B) Mesenchymal
CFL2	14q13.1	0.14	0.06	0.22	0.15	0.08	0.394	0.728	(A) Immunomodulatory
ZNG1E	9q21.11	0.38	0.22	0.36	0.35	0.15	0.394	0.728	(A) Immunomodulatory
C10ORF90	10q26.2	0.57	0.96	0.70	1.06	-0.39	0.394	0.728	(B) Mesenchymal
LBX2	2p13.1	0.14	0.32	0.25	0.54	-0.18	0.394	0.728	(B) Mesenchymal
ST13	22q13.2	0.18	0.33	0.20	0.47	-0.15	0.394	0.728	(B) Mesenchymal
IMMT	2p11.2	0.16	0.28	0.19	0.35	-0.12	0.394	0.729	(B) Mesenchymal
GTF2IP12	4q26	0.26	0.48	0.38	0.63	-0.22	0.394	0.729	(B) Mesenchymal
SPATA3-AS1	2q37.1	0.27	0.60	0.48	0.86	-0.33	0.394	0.729	(B) Mesenchymal
PEBP4	8p21.3	0.62	0.32	0.68	0.46	0.31	0.394	0.729	(A) Immunomodulatory
ARFGEF3	6q23.3-q24.1	0.15	0.39	0.43	0.66	-0.24	0.394	0.729	(B) Mesenchymal
PTGER1	19p13.12	0.38	0.19	0.52	0.33	0.20	0.394	0.729	(A) Immunomodulatory
SLEAR	8q22.3	0.11	0.36	0.20	0.60	-0.25	0.394	0.729	(B) Mesenchymal
CCT6B	17q12	0.27	0.13	0.40	0.22	0.14	0.394	0.729	(A) Immunomodulatory
C19ORF48P	19q13.33	0.38	0.61	0.55	0.53	-0.23	0.394	0.729	(B) Mesenchymal
LSM2	6p21.33	0.36	0.24	0.33	0.19	0.12	0.395	0.729	(A) Immunomodulatory
RANGAP1	22q13.2	0.13	0.27	0.20	0.42	-0.14	0.395	0.729	(B) Mesenchymal
INSM2	14q13.2	0.62	0.27	0.76	0.53	0.35	0.395	0.729	(A) Immunomodulatory
BID	22q11.21	0.34	0.21	0.36	0.27	0.14	0.395	0.729	(A) Immunomodulatory
PXDC1	6p25.2	0.12	0.23	0.22	0.34	-0.12	0.395	0.729	(B) Mesenchymal
PRDX2	19p13.13	0.22	0.40	0.38	0.46	-0.18	0.395	0.729	(B) Mesenchymal
GRK2	11q13.2	0.26	0.14	0.28	0.31	0.12	0.395	0.729	(A) Immunomodulatory
LINC00607	2q35	0.45	0.25	0.41	0.56	0.21	0.395	0.729	(A) Immunomodulatory
