Gene	Cytoband	(A) BRCA_Basal	(B) BRCA_Normal	(A) BRCA_Basal	(B) BRCA_Normal	Log2 Ratio	p-Value	q-Value	Higher expression in
PRPF6	20q13.33	11.46	11.54	0.56	0.46	-0.08	0.368	0.459	(B) BRCA_Normal
PGGHG	11p15.5	8.86	9.09	1.45	1.38	-0.23	0.368	0.459	(B) BRCA_Normal
GPR26	10q26.13	2.40	2.06	2.41	2.01	0.35	0.369	0.460	(A) BRCA_Basal
FAM20A	17q24.2	8.35	8.54	1.51	0.99	-0.18	0.369	0.460	(B) BRCA_Normal
ESS2	22q11.21	8.81	8.72	0.54	0.50	0.08	0.369	0.460	(A) BRCA_Basal
PDZD8	10q25.3-q26.11	8.44	8.61	0.91	1.04	-0.17	0.369	0.460	(B) BRCA_Normal
SSTR3	22q13.1	1.30	1.50	1.18	1.24	-0.20	0.369	0.460	(B) BRCA_Normal
PAIP2B	2p13.3	7.22	7.39	1.30	0.92	-0.17	0.369	0.460	(B) BRCA_Normal
MYH14	19q13.33	10.80	10.53	2.26	1.45	0.27	0.370	0.461	(A) BRCA_Basal
ZNF816	19q13.41	7.42	7.51	0.73	0.50	-0.09	0.370	0.461	(B) BRCA_Normal
ZC3HAV1	7q34	10.42	10.34	0.54	0.44	0.08	0.370	0.461	(A) BRCA_Basal
VRK3	19q13.33	9.12	9.18	0.48	0.32	-0.06	0.370	0.461	(B) BRCA_Normal
PMM1	22q13.2	8.97	8.87	0.67	0.62	0.10	0.370	0.461	(A) BRCA_Basal
NDEL1	17p13.1	9.72	9.80	0.48	0.44	-0.07	0.371	0.461	(B) BRCA_Normal
SDF4	1p36.33	11.38	11.48	0.71	0.57	-0.10	0.371	0.462	(B) BRCA_Normal
MT1L	16q13	5.16	5.39	1.88	1.24	-0.23	0.371	0.462	(B) BRCA_Normal
TUB	11p15.4	8.07	7.89	1.44	1.00	0.18	0.371	0.462	(A) BRCA_Basal
LINC00174	7q11.21	6.78	6.90	0.84	0.74	-0.13	0.371	0.462	(B) BRCA_Normal
PDS5A	4p14	11.44	11.37	0.56	0.37	0.07	0.371	0.462	(A) BRCA_Basal
PLAG1	8q12.1	5.12	4.92	1.86	1.07	0.21	0.371	0.462	(A) BRCA_Basal
GRID2	4q22.1-q22.2	0.40	0.29	1.01	0.55	0.11	0.371	0.462	(A) BRCA_Basal
C22ORF42	22q12.3	0.00	0.02	0.02	0.10	-0.01	0.371	0.462	(B) BRCA_Normal
UPK2	11q23.3	3.33	3.03	1.87	1.80	0.30	0.371	0.462	(A) BRCA_Basal
CTH	1p31.1	5.60	5.75	1.16	0.83	-0.15	0.371	0.462	(B) BRCA_Normal
COLEC11	2p25.3	3.70	3.94	1.75	1.39	-0.24	0.371	0.462	(B) BRCA_Normal
RGPD1	2p11.2	8.29	8.14	1.15	0.80	0.14	0.372	0.463	(A) BRCA_Basal
EOMES	3p24.1	4.68	4.98	1.82	1.84	-0.30	0.372	0.463	(B) BRCA_Normal
SCD	10q24.31	12.46	12.71	1.32	1.57	-0.25	0.372	0.463	(B) BRCA_Normal
FKBP6	7q11.23	0.66	0.56	0.78	0.59	0.10	0.372	0.463	(A) BRCA_Basal
PTGS2	1q31.1	6.73	7.04	2.36	1.76	-0.31	0.372	0.463	(B) BRCA_Normal
LINGO1	15q24.3	7.65	7.44	1.67	1.21	0.21	0.372	0.463	(A) BRCA_Basal
HSFY1P1	22q11.1	0.01	0.03	0.07	0.12	-0.02	0.372	0.463	(B) BRCA_Normal
GSG1L	16p12.1	1.02	1.24	1.18	1.35	-0.22	0.372	0.463	(B) BRCA_Normal
PCYT1B	Xp22.11	4.30	4.55	2.10	1.35	-0.25	0.373	0.463	(B) BRCA_Normal
TBC1D25	Xp11.23	8.73	8.78	0.53	0.29	-0.06	0.373	0.464	(B) BRCA_Normal
ARHGAP30	1q23.3	9.31	9.50	1.04	1.19	-0.19	0.373	0.464	(B) BRCA_Normal
MAD1L1	7p22.3	8.85	8.74	0.73	0.69	0.12	0.373	0.464	(A) BRCA_Basal
AP1AR	4q25	8.96	9.05	0.67	0.52	-0.09	0.373	0.464	(B) BRCA_Normal
PRSS45P	3p21.31	1.44	1.67	1.45	1.34	-0.22	0.373	0.464	(B) BRCA_Normal
MC1R	16q24.3	6.86	6.70	1.10	0.96	0.16	0.373	0.464	(A) BRCA_Basal
CABP5	19q13.33	0.02	0.04	0.10	0.15	-0.02	0.373	0.464	(B) BRCA_Normal
FAM83F	22q13.1	8.04	7.85	1.38	1.09	0.19	0.373	0.464	(A) BRCA_Basal
ADGRF3	2p23.3	2.99	2.86	0.84	0.80	0.13	0.374	0.464	(A) BRCA_Basal
SELENOW	19q13.33	11.48	11.60	0.86	0.71	-0.12	0.374	0.464	(B) BRCA_Normal
RSF1	11q14.1	9.65	9.53	0.84	0.68	0.12	0.374	0.464	(A) BRCA_Basal
PKP2	12p11.21	8.74	8.53	1.60	1.23	0.21	0.374	0.464	(A) BRCA_Basal
SNX6	14q13.1	10.29	10.37	0.56	0.50	-0.08	0.374	0.465	(B) BRCA_Normal
IRF1	5q31.1	10.37	10.20	1.27	1.02	0.18	0.374	0.465	(A) BRCA_Basal
SPATA2L	16q24.3	7.72	7.86	0.86	0.87	-0.14	0.374	0.465	(B) BRCA_Normal
LILRP2	19q13.42	0.74	0.59	0.88	0.89	0.15	0.374	0.465	(A) BRCA_Basal
SHBG	17p13.1	1.45	1.59	0.77	0.90	-0.14	0.375	0.465	(B) BRCA_Normal
LINC02249	15q13.2	1.00	1.16	1.26	0.94	-0.16	0.375	0.465	(B) BRCA_Normal
COL26A1	7q22.1	4.07	3.77	2.40	1.72	0.30	0.375	0.465	(A) BRCA_Basal
PRADC1	2p13.2	8.43	8.32	0.83	0.65	0.11	0.375	0.466	(A) BRCA_Basal
LGALS9C	17p11.2	4.11	4.31	1.38	1.21	-0.20	0.375	0.466	(B) BRCA_Normal
SIGLECL1	19q13.41	0.06	0.11	0.26	0.32	-0.05	0.375	0.466	(B) BRCA_Normal
ABCC4	13q32.1	8.00	7.80	1.35	1.23	0.21	0.375	0.466	(A) BRCA_Basal
PIPOX	17q11.2	4.18	4.36	1.09	1.06	-0.17	0.376	0.467	(B) BRCA_Normal
CENPT	16q22.1	8.91	8.81	0.67	0.57	0.10	0.376	0.467	(A) BRCA_Basal
NTMT1	9q34.11	8.85	8.75	0.70	0.59	0.10	0.376	0.467	(A) BRCA_Basal
ATP6V1B2	8p21.3	11.07	11.16	0.62	0.57	-0.09	0.376	0.467	(B) BRCA_Normal
FCN1	9q34.3	5.36	5.70	1.85	2.10	-0.34	0.376	0.467	(B) BRCA_Normal
SAA4	11p15.1	3.83	4.12	2.13	1.73	-0.29	0.376	0.467	(B) BRCA_Normal
CD5L	1q23.1	0.69	0.87	0.97	1.08	-0.17	0.376	0.467	(B) BRCA_Normal
CD2AP	6p12.3	10.61	10.46	0.85	0.94	0.15	0.376	0.467	(A) BRCA_Basal
OR2L8	1q44	0.02	0.04	0.12	0.13	-0.02	0.377	0.468	(B) BRCA_Normal
MAP2K3	17p11.2	10.28	10.20	0.66	0.47	0.08	0.377	0.468	(A) BRCA_Basal
LMNA	1q22	13.41	13.28	0.87	0.78	0.13	0.377	0.468	(A) BRCA_Basal
AGPAT2	9q34.3	9.75	9.91	1.09	0.92	-0.16	0.377	0.468	(B) BRCA_Normal
ACOX1	17q25.1	10.57	10.50	0.59	0.39	0.07	0.377	0.468	(A) BRCA_Basal
APOA5	11q23.3	0.23	0.35	0.48	0.77	-0.12	0.377	0.468	(B) BRCA_Normal
CERS3	15q26.3	2.49	2.82	2.47	1.91	-0.33	0.377	0.468	(B) BRCA_Normal
SEPTIN2	2q37.3	12.96	13.03	0.51	0.40	-0.07	0.377	0.468	(B) BRCA_Normal
NCDN	1p34.3	9.66	9.77	0.75	0.67	-0.11	0.378	0.469	(B) BRCA_Normal
ASMTL-AS1	Xp22.33 and Yp11.32	4.91	5.11	1.30	1.24	-0.20	0.378	0.469	(B) BRCA_Normal
SURF4	9q34.2	12.58	12.52	0.43	0.39	0.07	0.378	0.469	(A) BRCA_Basal
SPCS2P4	1p35.3	10.73	10.67	0.49	0.40	0.07	0.378	0.469	(A) BRCA_Basal
KPLCE	1q21.3	0.14	0.42	0.44	1.86	-0.28	0.378	0.469	(B) BRCA_Normal
SNORA16A	1p35.3	0.03	0.06	0.12	0.19	-0.03	0.378	0.469	(B) BRCA_Normal
UBE2E2	3p24.3	8.83	8.74	0.90	0.49	0.09	0.378	0.469	(A) BRCA_Basal
B3GALT5	21q22.2	3.81	4.21	2.00	2.54	-0.40	0.379	0.470	(B) BRCA_Normal
KCNK1	1q42.2	8.77	8.59	1.36	1.05	0.18	0.379	0.470	(A) BRCA_Basal
OR5AN1	11q12.1	0.00	0.01	0.02	0.08	-0.01	0.379	0.470	(B) BRCA_Normal
ATP5ME	4p16.3	10.15	10.29	0.84	0.85	-0.14	0.379	0.470	(B) BRCA_Normal
CFAP52	17p13.1	0.95	1.08	0.71	0.82	-0.13	0.379	0.470	(B) BRCA_Normal
WNT7A	3p25.1	0.92	1.18	1.43	1.61	-0.26	0.379	0.470	(B) BRCA_Normal
EIF2AK3	2p11.2	9.71	9.81	0.66	0.61	-0.10	0.379	0.470	(B) BRCA_Normal
LINC00339	1p36.12	7.76	7.84	0.53	0.47	-0.08	0.379	0.470	(B) BRCA_Normal
IDH3B	20p13	10.39	10.31	0.59	0.42	0.07	0.379	0.470	(A) BRCA_Basal
HMG20B	19p13.3	10.64	10.76	0.76	0.76	-0.12	0.379	0.470	(B) BRCA_Normal
EIF1AY	Yq11.223	0.02	0.09	0.11	0.45	-0.07	0.380	0.471	(B) BRCA_Normal
SYPL1	7q22.3	11.37	11.44	0.62	0.41	-0.07	0.380	0.471	(B) BRCA_Normal
TERC	3q26.2	0.59	0.45	0.67	0.88	0.14	0.380	0.471	(A) BRCA_Basal
ATXN3L	Xp22.2	0.03	0.01	0.24	0.07	0.02	0.380	0.471	(A) BRCA_Basal
AEN	15q26.1	9.23	9.32	0.61	0.55	-0.09	0.381	0.472	(B) BRCA_Normal
ADK	10q22.2	8.67	8.60	0.64	0.45	0.08	0.381	0.472	(A) BRCA_Basal
DECR2	16p13.3	8.26	8.41	0.86	0.94	-0.15	0.381	0.472	(B) BRCA_Normal
NUDC	1p36.11	11.12	11.03	0.62	0.60	0.10	0.381	0.472	(A) BRCA_Basal
OR4N4	15q11.2	0.22	0.37	0.81	0.97	-0.15	0.381	0.472	(B) BRCA_Normal
AVPI1	10q24.2	7.66	7.52	1.12	0.82	0.14	0.381	0.472	(A) BRCA_Basal
DTX2P1-UPK3BP1-PMS2P11	7q11.23	5.04	5.17	0.95	0.75	-0.13	0.381	0.472	(B) BRCA_Normal
LINC00928	15q26.1	0.42	0.31	0.68	0.61	0.10	0.381	0.472	(A) BRCA_Basal
CFAP418	8q22.1	5.84	5.95	0.88	0.65	-0.11	0.381	0.472	(B) BRCA_Normal
CIBAR1P2	4q35.1	0.06	0.04	0.18	0.13	0.02	0.381	0.472	(A) BRCA_Basal
RNF44	5q35.2	10.12	10.05	0.61	0.39	0.07	0.382	0.472	(A) BRCA_Basal
RLIG1	12q21.32	8.39	8.45	0.58	0.35	-0.06	0.382	0.473	(B) BRCA_Normal
LCE2C	1q21.3	0.07	0.34	0.36	1.84	-0.27	0.382	0.473	(B) BRCA_Normal
GCNT1	9q21.13	9.14	8.97	1.36	0.96	0.17	0.382	0.473	(A) BRCA_Basal
KRTAP10-6	21q22.3	0.01	0.05	0.09	0.22	-0.03	0.382	0.473	(B) BRCA_Normal
C2ORF78	2p13.1	0.17	0.10	0.70	0.31	0.07	0.382	0.473	(A) BRCA_Basal
GNB1L	22q11.21	6.84	6.68	0.99	0.98	0.16	0.382	0.473	(A) BRCA_Basal
ZNF658	9q21.11	5.61	5.72	0.68	0.62	-0.10	0.382	0.473	(B) BRCA_Normal
ZNF679	7q11.21	0.31	0.15	1.10	0.92	0.15	0.382	0.473	(A) BRCA_Basal
CPNE3	8q21.3	11.63	11.53	0.71	0.57	0.10	0.382	0.473	(A) BRCA_Basal
ACTL9	19p13.2	0.03	0.01	0.14	0.08	0.02	0.382	0.473	(A) BRCA_Basal
RLN3	19p13.12	0.17	0.32	0.37	0.97	-0.15	0.382	0.473	(B) BRCA_Normal
SNORA48	17p13.1	0.26	0.39	0.44	0.83	-0.13	0.383	0.473	(B) BRCA_Normal
FEZF1	7q31.32	0.58	0.41	1.23	0.97	0.16	0.383	0.473	(A) BRCA_Basal
KIR3DX1	19q13.42	0.47	0.35	0.68	0.76	0.12	0.383	0.473	(A) BRCA_Basal
TBL1X	Xp22.31-p22.2	9.93	9.82	0.83	0.69	0.12	0.383	0.473	(A) BRCA_Basal
GOSR1	17q11.2	9.96	10.02	0.43	0.37	-0.06	0.383	0.474	(B) BRCA_Normal
GCC1	7q32.1	9.61	9.55	0.49	0.32	0.06	0.383	0.474	(A) BRCA_Basal
DUSP29	10q22.2	0.06	0.09	0.17	0.23	-0.04	0.383	0.474	(B) BRCA_Normal
ADAM18	8p11.22	0.07	0.03	0.55	0.13	0.04	0.383	0.474	(A) BRCA_Basal
OR9A4	7q34	0.16	0.11	0.42	0.26	0.05	0.383	0.474	(A) BRCA_Basal
TIGD7	16p13.3	8.09	8.00	0.80	0.54	0.09	0.384	0.474	(A) BRCA_Basal
KCP	7q32.1	3.48	3.27	1.39	1.23	0.20	0.384	0.474	(A) BRCA_Basal
CLDN17	21q21.3	0.02	0.05	0.11	0.17	-0.03	0.384	0.474	(B) BRCA_Normal
PKP4	2q24.1	11.07	11.16	0.57	0.53	-0.09	0.384	0.474	(B) BRCA_Normal
CYP3A4	7q22.1	0.50	0.62	0.92	0.72	-0.12	0.384	0.474	(B) BRCA_Normal
AIFM3	22q11.21	3.96	4.16	1.31	1.23	-0.20	0.384	0.474	(B) BRCA_Normal
MVK	12q24.11	8.45	8.58	0.66	0.85	-0.13	0.384	0.475	(B) BRCA_Normal
UBR2	6p21.1	9.90	9.76	0.77	0.88	0.14	0.384	0.475	(A) BRCA_Basal
LMO7	13q22.2	9.65	9.52	1.24	0.67	0.13	0.384	0.475	(A) BRCA_Basal
C11ORF42	11p15.4	0.56	0.65	0.57	0.52	-0.08	0.384	0.475	(B) BRCA_Normal
SCAI	9q33.3	7.91	7.81	0.71	0.62	0.10	0.384	0.475	(A) BRCA_Basal
PHKG2	16p11.2	9.09	8.99	0.59	0.63	0.10	0.384	0.475	(A) BRCA_Basal
TOGARAM2	2p23.2	2.98	2.79	1.54	1.10	0.19	0.384	0.475	(A) BRCA_Basal
SIGLEC11	19q13.33	2.71	2.91	1.35	1.24	-0.20	0.384	0.475	(B) BRCA_Normal
RNF112	17p11.2	3.37	3.55	1.25	1.10	-0.18	0.385	0.475	(B) BRCA_Normal
UBE2D3	4q24	12.25	12.30	0.44	0.24	-0.05	0.385	0.475	(B) BRCA_Normal
UVRAG	11q13.5	9.55	9.49	0.59	0.35	0.06	0.385	0.475	(A) BRCA_Basal
ABCC2	10q24.2	3.54	3.80	1.78	1.58	-0.26	0.385	0.475	(B) BRCA_Normal
VPS50	7q21.2-q21.3	8.89	8.99	0.53	0.64	-0.10	0.385	0.476	(B) BRCA_Normal
ZNF775	7q36.1	5.92	6.08	1.04	0.98	-0.16	0.385	0.476	(B) BRCA_Normal
GRIK2	6q16.3	2.49	2.70	1.65	1.22	-0.21	0.385	0.476	(B) BRCA_Normal
WASL	7q31.32	10.67	10.60	0.49	0.44	0.07	0.385	0.476	(A) BRCA_Basal
HOXA11	7p15.2	3.99	3.69	2.23	1.78	0.30	0.385	0.476	(A) BRCA_Basal
RDH16	12q13.3	3.70	3.98	1.47	1.75	-0.27	0.385	0.476	(B) BRCA_Normal
GGA1	22q13.1	10.05	10.13	0.57	0.43	-0.07	0.385	0.476	(B) BRCA_Normal
SLC6A20	3p21.31	3.54	3.77	2.05	1.28	-0.23	0.385	0.476	(B) BRCA_Normal
HOXC10	12q13.13	8.07	8.33	1.92	1.55	-0.26	0.385	0.476	(B) BRCA_Normal
MOB1B	4q13.3	9.54	9.64	0.62	0.61	-0.10	0.386	0.476	(B) BRCA_Normal
SLA2	20q11.23	5.71	5.97	1.83	1.52	-0.25	0.386	0.476	(B) BRCA_Normal
SLC35E1	19p13.11	11.18	11.11	0.59	0.39	0.07	0.386	0.476	(A) BRCA_Basal
CALHM4	6q22.1	0.09	0.14	0.35	0.30	-0.05	0.386	0.476	(B) BRCA_Normal
CDH26	20q13.33	3.41	3.61	1.50	1.17	-0.20	0.386	0.476	(B) BRCA_Normal
STK32C	10q26.3	7.41	7.26	1.10	0.88	0.15	0.386	0.477	(A) BRCA_Basal
LINC00029	20q13.33	0.04	0.02	0.20	0.11	0.02	0.386	0.477	(A) BRCA_Basal
MTF1	1p34.3	9.23	9.15	0.62	0.51	0.09	0.386	0.477	(A) BRCA_Basal
ZSWIM7	17p12	7.97	8.04	0.69	0.41	-0.07	0.386	0.477	(B) BRCA_Normal
PRR30	2p23.3	0.03	0.07	0.13	0.26	-0.04	0.386	0.477	(B) BRCA_Normal
CST8	20p11.21	0.01	0.06	0.06	0.34	-0.05	0.386	0.477	(B) BRCA_Normal
MOGAT1	2q36.1	0.69	0.52	1.00	1.10	0.17	0.387	0.477	(A) BRCA_Basal
RNPC3	1p21.1	7.24	7.34	0.61	0.59	-0.10	0.387	0.477	(B) BRCA_Normal
DCC	18q21.2	1.20	1.06	1.07	0.83	0.14	0.387	0.477	(A) BRCA_Basal
SLC22A24	11q12.3	0.01	0.04	0.07	0.26	-0.04	0.387	0.478	(B) BRCA_Normal
NANOGNB	12p13.31	0.32	0.20	0.63	0.83	0.13	0.387	0.478	(A) BRCA_Basal
SH3BGRL3	1p36.11	12.09	11.96	0.69	0.83	0.13	0.387	0.478	(A) BRCA_Basal
MGST1	12p12.3	11.57	11.38	1.49	1.09	0.19	0.387	0.478	(A) BRCA_Basal
RAB11FIP4	17q11.2	9.45	9.32	0.95	0.77	0.13	0.388	0.478	(A) BRCA_Basal
HPCA	1p35.1	2.49	2.67	1.15	1.16	-0.18	0.388	0.478	(B) BRCA_Normal
ANGEL2	1q32.3	9.28	9.21	0.54	0.38	0.07	0.388	0.478	(A) BRCA_Basal
IPP	1p34.1	7.68	7.57	0.78	0.74	0.12	0.388	0.478	(A) BRCA_Basal
TMPRSS4	11q23.3	3.94	4.45	3.03	3.26	-0.52	0.388	0.478	(B) BRCA_Normal
PTPN11	12q24.13	11.46	11.37	0.65	0.52	0.09	0.388	0.478	(A) BRCA_Basal
SNORA11	Xp11.21	0.04	0.12	0.15	0.54	-0.08	0.388	0.479	(B) BRCA_Normal
RPP25L	9p13.3	8.57	8.46	0.78	0.63	0.11	0.388	0.479	(A) BRCA_Basal
CEP135	4q12	7.73	7.64	0.83	0.53	0.09	0.388	0.479	(A) BRCA_Basal
LAMP1	13q34	13.03	12.96	0.63	0.39	0.07	0.388	0.479	(A) BRCA_Basal
LAMTOR4	7q22.1	9.91	10.05	0.81	0.87	-0.14	0.389	0.480	(B) BRCA_Normal
OR56A3	11p15.4	0.63	0.44	1.36	1.16	0.19	0.389	0.480	(A) BRCA_Basal
LIN28A	1p36.11	0.29	0.47	0.58	1.19	-0.18	0.389	0.480	(B) BRCA_Normal
ARHGDIG	16p13.3	1.97	1.68	2.18	1.67	0.28	0.389	0.480	(A) BRCA_Basal
DYNLRB1	20q11.22	10.99	10.89	0.62	0.64	0.10	0.389	0.480	(A) BRCA_Basal
C3P1	19p13.2	0.03	0.02	0.17	0.09	0.02	0.389	0.480	(A) BRCA_Basal
S100A4	1q21.3	10.83	10.63	1.30	1.22	0.20	0.389	0.480	(A) BRCA_Basal
SON	21q22.11	12.34	12.43	0.60	0.59	-0.09	0.389	0.480	(B) BRCA_Normal
SIPA1L1	14q24.2	9.93	10.01	0.61	0.46	-0.08	0.390	0.480	(B) BRCA_Normal
VTCN1	1p13.1-p12	11.11	10.76	1.95	2.21	0.34	0.390	0.480	(A) BRCA_Basal
TRMT10B	9p13.2	7.29	7.38	0.59	0.53	-0.09	0.390	0.480	(B) BRCA_Normal
EEIG2	1p13.3	9.74	9.88	0.87	0.88	-0.14	0.390	0.480	(B) BRCA_Normal
PRDX2	19p13.13	11.85	11.73	0.85	0.72	0.12	0.390	0.480	(A) BRCA_Basal
USP9Y	Yq11.221	0.06	0.13	0.22	0.47	-0.07	0.390	0.480	(B) BRCA_Normal
ATG4A	Xq22.3	8.23	8.30	0.52	0.40	-0.07	0.390	0.481	(B) BRCA_Normal
CTSL	9q21.33	11.12	10.95	0.85	1.12	0.17	0.390	0.481	(A) BRCA_Basal
MR1	1q25.3	7.48	7.58	0.87	0.62	-0.11	0.391	0.481	(B) BRCA_Normal
RRP8	11p15.4	8.05	8.12	0.56	0.40	-0.07	0.391	0.481	(B) BRCA_Normal
KRT33B	17q21.2	0.59	0.42	1.27	0.97	0.16	0.391	0.481	(A) BRCA_Basal
VSNL1	2p24.2	7.06	7.29	2.14	1.25	-0.23	0.391	0.481	(B) BRCA_Normal
SCYL3	1q24.2	8.85	8.77	0.58	0.50	0.08	0.391	0.481	(A) BRCA_Basal
PRKACA	19p13.12	11.16	11.23	0.53	0.41	-0.07	0.391	0.481	(B) BRCA_Normal
KHDC3L	6q13	0.21	0.15	0.66	0.33	0.06	0.391	0.482	(A) BRCA_Basal
G6PC1	17q21.31	0.11	0.20	0.31	0.64	-0.09	0.391	0.482	(B) BRCA_Normal
ERICH6	3q25.1	0.73	0.82	0.66	0.54	-0.09	0.392	0.482	(B) BRCA_Normal
CFC1B	2q21.1	0.02	0.10	0.26	0.48	-0.07	0.392	0.482	(B) BRCA_Normal
ABHD3	18q11.2	8.70	8.54	0.67	1.02	0.15	0.392	0.482	(A) BRCA_Basal
SCARNA21	17p13.1	0.03	0.05	0.11	0.14	-0.02	0.392	0.482	(B) BRCA_Normal
TFF2	21q22.3	1.51	1.27	2.28	1.30	0.24	0.392	0.482	(A) BRCA_Basal
ZNF419	19q13.43	7.40	7.33	0.77	0.40	0.08	0.392	0.482	(A) BRCA_Basal
WDR83OS	19p13.13	10.89	10.97	0.64	0.50	-0.08	0.392	0.482	(B) BRCA_Normal
CABLES1	18q11.2	9.14	9.29	1.12	0.94	-0.15	0.392	0.482	(B) BRCA_Normal
HIP1R	12q24.31	9.84	9.95	0.97	0.60	-0.11	0.393	0.483	(B) BRCA_Normal
SCNN1G	16p12.2	6.21	6.49	2.12	1.71	-0.28	0.393	0.483	(B) BRCA_Normal
SLC35A5	3q13.2	9.04	9.12	0.59	0.46	-0.08	0.393	0.483	(B) BRCA_Normal
HNF1A-AS1	12q24.31	0.09	0.15	0.22	0.40	-0.06	0.393	0.483	(B) BRCA_Normal
CCDC9B	15q15.1	8.84	9.01	1.31	1.00	-0.17	0.393	0.484	(B) BRCA_Normal
MED25	19q13.33	9.88	9.79	0.62	0.59	0.09	0.393	0.484	(A) BRCA_Basal
BGN	Xq28	13.52	13.73	1.26	1.35	-0.21	0.393	0.484	(B) BRCA_Normal
ATP5F1A	18q21.1	13.15	13.09	0.56	0.32	0.06	0.394	0.484	(A) BRCA_Basal
C16ORF78	16q12.1	0.03	0.01	0.15	0.08	0.02	0.394	0.484	(A) BRCA_Basal
H2BC4	6p22.2	5.96	5.70	1.42	1.69	0.26	0.394	0.484	(A) BRCA_Basal
RXFP2	13q13.1	0.09	0.15	0.29	0.41	-0.06	0.394	0.484	(B) BRCA_Normal
PCP4L1	1q23.3	4.97	4.65	2.50	1.94	0.32	0.394	0.484	(A) BRCA_Basal
DMKN	19q13.12	8.37	8.68	2.73	1.79	-0.31	0.394	0.484	(B) BRCA_Normal
MIF	22q11.23	12.23	12.05	1.16	1.11	0.18	0.394	0.484	(A) BRCA_Basal
FAM225B	9q32	7.13	7.32	1.18	1.18	-0.19	0.394	0.484	(B) BRCA_Normal
JAKMIP2	5q32	3.68	3.93	1.56	1.65	-0.26	0.394	0.484	(B) BRCA_Normal
GNPNAT1	14q22.1	10.04	10.13	0.54	0.54	-0.09	0.394	0.485	(B) BRCA_Normal
SERPINB12	18q21.33	0.54	0.38	0.88	1.04	0.16	0.395	0.485	(A) BRCA_Basal
MKKS	20p12.2	9.69	9.63	0.56	0.33	0.06	0.395	0.485	(A) BRCA_Basal
STAP2	19p13.3	9.43	9.28	1.11	0.93	0.15	0.395	0.485	(A) BRCA_Basal
APOA4	11q23.3	0.02	0.05	0.14	0.17	-0.03	0.395	0.485	(B) BRCA_Normal
BTBD6	14q32.33	10.15	10.06	0.61	0.50	0.08	0.395	0.485	(A) BRCA_Basal
USP9X	Xp11.4	11.90	11.81	0.67	0.58	0.09	0.395	0.485	(A) BRCA_Basal
CACNG2	22q12.3	0.14	0.08	0.90	0.25	0.07	0.395	0.485	(A) BRCA_Basal
PRDM4	12q23.3	9.57	9.63	0.48	0.35	-0.06	0.395	0.486	(B) BRCA_Normal
ZNF420	19q13.12	7.28	7.18	0.91	0.59	0.10	0.395	0.486	(A) BRCA_Basal
ACTC1	15q14	2.14	2.45	1.82	1.98	-0.31	0.395	0.486	(B) BRCA_Normal
TMEM71	8q24.22	6.43	6.23	1.69	1.25	0.21	0.396	0.486	(A) BRCA_Basal
TM4SF19	3q29	3.88	3.52	1.78	2.37	0.36	0.396	0.486	(A) BRCA_Basal
ETV5	3q27.2	9.10	9.26	1.19	0.97	-0.16	0.396	0.486	(B) BRCA_Normal
TUBBP6	7p11.2	1.05	0.91	0.69	0.86	0.13	0.396	0.486	(A) BRCA_Basal
GLP1R	6p21.2	2.96	3.29	2.39	2.12	-0.34	0.396	0.486	(B) BRCA_Normal
DBT	1p21.2	9.43	9.34	0.55	0.57	0.09	0.396	0.486	(A) BRCA_Basal
GALE	1p36.11	9.05	9.20	0.86	0.93	-0.14	0.396	0.486	(B) BRCA_Normal
KRR1	12q21.2	9.57	9.50	0.56	0.46	0.08	0.397	0.487	(A) BRCA_Basal
HACD2	3q21.1	7.83	7.62	1.50	1.33	0.21	0.397	0.487	(A) BRCA_Basal
CYLD	16q12.1	10.24	10.34	0.76	0.54	-0.09	0.397	0.487	(B) BRCA_Normal
GDPD1	17q22	5.03	5.17	1.08	0.83	-0.14	0.397	0.487	(B) BRCA_Normal
SMPD4BP	2q21.1	8.28	8.41	0.72	0.79	-0.12	0.397	0.487	(B) BRCA_Normal
LARS2	3p21.31	8.91	8.85	0.59	0.34	0.06	0.397	0.487	(A) BRCA_Basal
RALGAPB	20q11.23	10.78	10.86	0.57	0.49	-0.08	0.397	0.487	(B) BRCA_Normal
SHISA7	19q13.42	1.07	0.94	1.05	0.78	0.13	0.397	0.487	(A) BRCA_Basal
RIT2	18q12.3	0.09	0.06	0.37	0.17	0.03	0.397	0.487	(A) BRCA_Basal
WEE2	7q34	1.04	0.94	0.80	0.62	0.10	0.397	0.487	(A) BRCA_Basal
CYBB	Xp21.1-p11.4	10.09	10.31	1.58	1.37	-0.22	0.398	0.488	(B) BRCA_Normal
KIR3DL2	19q13.42	1.74	1.52	1.51	1.40	0.22	0.398	0.488	(A) BRCA_Basal
SNORA5B	7p13	0.00	0.01	0.02	0.07	-0.01	0.398	0.489	(B) BRCA_Normal
SNORA58	3q22.1	0.00	0.02	0.04	0.12	-0.02	0.398	0.489	(B) BRCA_Normal
LRATD2	8q24.21	10.58	10.72	0.98	0.92	-0.15	0.398	0.489	(B) BRCA_Normal
TMLHE	Xq28	7.68	7.60	0.79	0.47	0.08	0.398	0.489	(A) BRCA_Basal
ZNF77	19p13.3	6.66	6.58	0.81	0.44	0.08	0.399	0.489	(A) BRCA_Basal
PEX3	6q24.2	8.39	8.31	0.65	0.48	0.08	0.399	0.489	(A) BRCA_Basal
